angle,spline,linear
122.93233082706766,-201.28427965755805,-201.2840512339543
123.15789473684211,-201.28457852220927,-201.28435872562204
123.38345864661653,-201.28487347694906,-201.28466621728978
123.60902255639098,-201.2851644883112,-201.28497370895752
123.8345864661654,-201.28545152282956,-201.28528120062526
124.06015037593986,-201.28573454703783,-201.28558869229303
124.28571428571428,-201.2860135274699,-201.28589618396077
124.51127819548873,-201.28628843065954,-201.2862036756285
124.73684210526315,-201.28655922314053,-201.28651116729625
124.9624060150376,-201.2868258714467,-201.286818658964
125.18796992481202,-201.2870883262619,-201.28703766251067
125.41353383458647,-201.28734643289968,-201.28723896843314
125.6390977443609,-201.2875999936886,-201.2874402743556
125.86466165413535,-201.2878488108304,-201.28764158027806
126.09022556390977,-201.28809268652682,-201.2878428862005
126.3157894736842,-201.2883314229796,-201.28804419212295
126.54135338345864,-201.28856482239053,-201.28824549804543
126.76691729323308,-201.28879268696133,-201.28844680396787
126.99248120300751,-201.28901481889372,-201.28864810989035
127.21804511278195,-201.28923102038948,-201.2888494158128
127.44360902255639,-201.28944109365037,-201.28905072173526
127.66917293233082,-201.28964484087808,-201.2892520276577
127.89473684210526,-201.28984206427438,-201.28945333358018
128.1203007518797,-201.29003256604108,-201.28965463950263
128.34586466165413,-201.29021614837984,-201.28985594542507
128.57142857142856,-201.29039261349243,-201.29005725134755
128.796992481203,-201.29056176358065,-201.29025855727
129.02255639097746,-201.29072340084616,-201.29045986319247
129.24812030075188,-201.29087732749076,-201.2906611691149
129.4736842105263,-201.29102334571618,-201.2908624750374
129.69924812030075,-201.29116125772418,-201.29106378095983
129.9248120300752,-201.2912908657165,-201.2912650868823
130.15037593984962,-201.29141204779535,-201.29142369322562
130.37593984962405,-201.29152556440545,-201.2915609497794
130.6015037593985,-201.29163274524484,-201.29169820633317
130.82706766917295,-201.29173492949926,-201.29183546288695
131.05263157894737,-201.29183345635414,-201.29197271944074
131.2781954887218,-201.29192966499514,-201.2921099759945
131.50375939849624,-201.29202489460795,-201.29224723254828
131.72932330827066,-201.29212048437807,-201.29238448910206
131.95488721804512,-201.2922177734912,-201.29252174565582
132.18045112781954,-201.29231810113288,-201.2926590022096
132.406015037594,-201.29242280648876,-201.2927962587634
132.6315789473684,-201.2925332287444,-201.29293351531715
132.85714285714286,-201.29265070708541,-201.29307077187093
133.08270676691728,-201.2927765806974,-201.29320802842471
133.30827067669173,-201.29291218876605,-201.29334528497847
133.53383458646616,-201.29305887047684,-201.29348254153226
133.7593984962406,-201.29321796501543,-201.29361979808604
133.98496240601503,-201.2933908115675,-201.2937570546398
134.21052631578948,-201.29357874931858,-201.29389431119358
134.4360902255639,-201.29378311745424,-201.29403156774737
134.66165413533835,-201.2940052551602,-201.29416882430112
134.88721804511277,-201.29424650162196,-201.2943060808549
135.11278195488723,-201.29450812347304,-201.2945347928176
135.33834586466165,-201.2947897186468,-201.29485496018913
135.5639097744361,-201.29508921637697,-201.2951751275607
135.78947368421052,-201.2954044733448,-201.29549529493224
136.01503759398497,-201.29573334623163,-201.2958154623038
