bond,spline,linear
1.4413533834586465,-201.2772567608939,-201.27298509373767
1.445112781954887,-201.274381737898,-201.2699978229157
1.4488721804511275,-201.2714573419494,-201.26701055209378
1.4526315789473683,-201.26848279796474,-201.26402328127182
1.456390977443609,-201.2654573308608,-201.26103601044989
1.4601503759398495,-201.2623801655544,-201.25804873962792
1.46390977443609,-201.25925052696215,-201.255061468806
1.4676691729323306,-201.25606764000085,-201.25207419798403
1.4714285714285713,-201.25283072958723,-201.2490869271621
1.475187969924812,-201.24953902063805,-201.24609965634014
1.4789473684210526,-201.24619173807005,-201.24311238551817
1.482706766917293,-201.24278810679996,-201.24012511469624
1.4864661654135336,-201.2393273517445,-201.23713784387428
1.4902255639097743,-201.23580869782046,-201.23415057305235
1.4939849624060149,-201.2322313699445,-201.23116330223039
1.4977443609022556,-201.22859459303342,-201.22817603140845
1.5015037593984961,-201.2248976460015,-201.2247818183629
1.5052631578947366,-201.22114190691647,-201.220777191982
1.5090225563909772,-201.21733148072087,-201.21677256560108
1.512781954887218,-201.21347065459884,-201.21276793922013
1.5165413533834586,-201.20956371573448,-201.2087633128392
1.5203007518796992,-201.20561495131201,-201.2047586864583
1.5240601503759397,-201.20162864851545,-201.20075406007737
1.5278195488721802,-201.197609094529,-201.19674943369645
1.531578947368421,-201.19356057653673,-201.19274480731553
1.5353383458646614,-201.18948738172284,-201.18874018093462
1.5390977443609022,-201.1853937972714,-201.1847355545537
1.5428571428571427,-201.1812841103666,-201.18073092817275
1.5466165413533832,-201.1771626081925,-201.17672630179183
1.5503759398496237,-201.1730335779333,-201.1727216754109
1.5541353383458645,-201.16890130677305,-201.16871704903
1.5578947368421052,-201.16477008189597,-201.16471242264907
1.5616541353383457,-201.16064419048612,-201.16070779626816
1.5654135338345863,-201.15652791972767,-201.15670316988724
1.5691729323308268,-201.15242555680473,-201.15269854350632
1.5729323308270675,-201.14834138890146,-201.14869391712537
1.5766917293233083,-201.14427970320196,-201.14468929074445
1.5804511278195488,-201.14024478689035,-201.14068466436353
1.5842105263157893,-201.1362409271508,-201.13668003798261
1.5879699248120298,-201.1322724111674,-201.1326754116017
1.5917293233082705,-201.1283435261243,-201.12867078522078
1.595488721804511,-201.1244585592056,-201.12466615883986
1.5992481203007518,-201.12062179759553,-201.12066153245894
1.6030075187969923,-201.11683707810082,-201.11729427232166
1.6067669172932328,-201.11310490895858,-201.11408635374534
1.6105263157894734,-201.10942430653103,-201.11087843516898
1.614285714285714,-201.10579428014336,-201.10767051659263
1.6180451127819548,-201.10221383912065,-201.10446259801628
1.6218045112781954,-201.098681992788,-201.10125467943993
1.6255639097744359,-201.09519775047056,-201.0980467608636
1.6293233082706764,-201.09176012149342,-201.09483884228726
1.6330827067669171,-201.08836811518174,-201.0916309237109
1.6368421052631577,-201.08502074086059,-201.08842300513456
1.6406015037593984,-201.08171700785508,-201.0852150865582
1.644360902255639,-201.07845592549037,-201.08200716798189
1.6481203007518794,-201.07523650309156,-201.07879924940553
1.65187969924812,-201.07205774998377,-201.07559133082918
1.6556390977443607,-201.0689186754921,-201.07238341225283
1.6593984962406014,-201.0658182889417,-201.0691754936765
1.663157894736842,-201.06275559965766,-201.06596757510016
1.6669172932330825,-201.0597296169651,-201.0627596565238
1.670676691729323,-201.0567393501891,-201.05955173794746
1.6744360902255637,-201.0537838086549,-201.0563438193711
1.6781954887218045,-201.05086200168748,-201.05313590079479
1.681954887218045,-201.04797293861205,-201.04992798221843
1.6857142857142855,-201.04511562875368,-201.04672006364208
1.689473684210526,-201.0422890814375,-201.04351214506573
1.6932330827067668,-201.03949230598857,-201.04030422648938
1.6969924812030073,-201.03672431173212,-201.03709630791306
1.700751879699248,-201.03398411049588,-201.03407628834952
1.7045112781954885,-201.03127124467417,-201.03180786483736
1.708270676691729,-201.02858644042536,-201.02953944132517
1.7120300751879696,-201.0259305840789,-201.02727101781298
1.7157894736842103,-201.0233045619642,-201.0250025943008
1.719548872180451,-201.0207092604106,-201.0227341707886
1.7233082706766916,-201.01814556574757,-201.0204657472764
1.727067669172932,-201.01561436430447,-201.0181973237642
1.7308270676691726,-201.01311654241073,-201.01592890025205
1.7345864661654133,-201.01065298639574,-201.01366047673986
1.738345864661654,-201.00822458258895,-201.01139205322767
1.7421052631578946,-201.00583221731972,-201.00912362971548
1.7458646616541351,-201.0034767769175,-201.00685520620328
1.7496240601503756,-201.00115914771166,-201.0045867826911
1.7533834586466162,-200.99888021603155,-201.0023183591789
1.757142857142857,-200.99664086820673,-201.00004993566674
1.7609022556390976,-200.9944419905665,-200.99778151215455
1.7646616541353382,-200.99228446944022,-200.99551308864235
1.7684210526315787,-200.9901691911574,-200.99324466513016
1.7721804511278192,-200.98809704204743,-200.99097624161797
1.77593984962406,-200.98606890843965,-200.98870781810578
1.7796992481203007,-200.98408567666354,-200.9864393945936
1.7834586466165412,-200.98214823304846,-200.98417097108143
1.7872180451127817,-200.98025746392383,-200.98190254756923
1.7909774436090222,-200.97841425561904,-200.97963412405704
1.794736842105263,-200.97661949446356,-200.97736570054485
1.7984962406015035,-200.97487406678673,-200.97509727703266
1.8022556390977442,-200.9731787820412,-200.9734849230043
1.8060150375939847,-200.97153329937572,-200.97230994863182
1.8097744360902253,-200.96993639243271,-200.97113497425934
1.8135338345864658,-200.96838681207632,-200.96995999988684
1.8172932330827065,-200.96688330917067,-200.96878502551436
1.8210526315789473,-200.96542463457993,-200.9676100511419
1.8248120300751878,-200.96400953916827,-200.9664350767694
1.8285714285714283,-200.96263677379977,-200.9652601023969
1.8323308270676688,-200.96130508933865,-200.96408512802444
