bond,angle,spline
0.9,142.46231155778895,-200.31301562043546
0.9,142.9145728643216,-200.3139296129703
0.9,143.36683417085428,-200.31479830892536
0.9,143.81909547738695,-200.31562162435853
0.9,144.2713567839196,-200.3163994753276
0.9,144.72361809045225,-200.3171317778903
0.9,145.17587939698493,-200.31781844810448
0.9,145.6281407035176,-200.31845940202794
0.9,146.08040201005025,-200.3190545557184
0.9,146.53266331658293,-200.31960382523388
0.9,146.98492462311557,-200.32010712663185
0.9,147.43718592964825,-200.32056437597046
0.9,147.8894472361809,-200.3209754893072
0.9,148.34170854271358,-200.32134038270004
0.9,148.79396984924622,-200.3216589722068
0.9,149.2462311557789,-200.3219311738852
0.9,149.69849246231155,-200.32215690379306
0.9,150.15075376884423,-200.32233609260408
0.9,150.6030150753769,-200.322469547948
0.9,151.05527638190955,-200.32255943673607
0.9,151.5075376884422,-200.32260804280725
0.9,151.95979899497488,-200.32261765000027
0.9,152.41206030150755,-200.32259054215402
0.9,152.8643216080402,-200.32252900310723
0.9,153.31658291457288,-200.32243531669874
0.9,153.76884422110552,-200.3223117667675
0.9,154.2211055276382,-200.32216063715217
0.9,154.67336683417085,-200.32198421169164
0.9,155.12562814070353,-200.32178477422468
0.9,155.5778894472362,-200.3215646085902
0.9,156.03015075376885,-200.32132599862692
0.9,156.4824120603015,-200.3210712281737
0.9,156.93467336683418,-200.3208025810695
0.9,157.38693467336685,-200.32052234115292
0.9,157.8391959798995,-200.32023279226289
0.9,158.29145728643215,-200.3199362182382
0.9,158.74371859296483,-200.3196349029177
0.9,159.1959798994975,-200.31933113014023
0.9,159.64824120603015,-200.31902718374454
0.9,160.1005025125628,-200.31872534370012
0.9,160.55276381909547,-200.31842726167892
0.9,161.00502512562815,-200.31813327181516
0.9,161.4572864321608,-200.31784354234122
0.9,161.90954773869348,-200.31755824148985
0.9,162.36180904522615,-200.31727753749365
0.9,162.8140703517588,-200.3170015985852
0.9,163.26633165829145,-200.31673059299706
0.9,163.71859296482413,-200.31646468896184
0.9,164.1708542713568,-200.31620405471222
0.9,164.62311557788945,-200.31594885848062
0.9,165.0753768844221,-200.3156992684998
0.9,165.52763819095478,-200.31545545300227
0.9,165.97989949748745,-200.31521758022063
0.9,166.4321608040201,-200.31498581838753
0.9,166.88442211055275,-200.31476033573554
0.9,167.33668341708542,-200.31454130049727
0.9,167.7889447236181,-200.3143288809053
0.9,168.24120603015075,-200.3141232451922
0.9,168.69346733668343,-200.31392456159068
0.9,169.1457286432161,-200.31373299833317
0.9,169.59798994974875,-200.3135487236524
0.9,170.0502512562814,-200.31337190578094
0.9,170.50251256281408,-200.31320271295135
0.9,170.95477386934675,-200.3130413133962
0.9,171.4070351758794,-200.31288787534822
0.9,171.85929648241205,-200.31274256703986
0.9,172.31155778894473,-200.31260555670383
0.9,172.7638190954774,-200.31247701257263
0.9,173.21608040201005,-200.3123571028789
0.9,173.6683417085427,-200.31224599585533
0.9,174.12060301507537,-200.31214385973436
0.9,174.57286432160805,-200.31205086274866
0.9,175.0251256281407,-200.31196717313085
0.9,175.47738693467338,-200.3118929591135
0.9,175.92964824120605,-200.3118283889292
0.9,176.3819095477387,-200.31177363081056
0.9,176.83417085427135,-200.31172885299023
0.9,177.28643216080403,-200.31169422370067
0.9,177.7386934673367,-200.3116699111746
0.9,178.19095477386935,-200.3116560836446
0.9,178.643216080402,-200.31165290934317
0.9,179.09547738693468,-200.31166055650309
0.9,179.54773869346735,-200.31167919335678
0.9,180.0,-200.31170898813693
0.907537688442211,90.0,-199.94546033849292
0.907537688442211,90.45226130653266,-199.95150765926928
0.907537688442211,90.90452261306532,-199.95737194602344
0.907537688442211,91.35678391959799,-199.9630607121026
0.907537688442211,91.80904522613065,-199.96858147085376
0.907537688442211,92.26130653266331,-199.973941735624
0.907537688442211,92.71356783919597,-199.97914901976046
0.907537688442211,93.16582914572864,-199.98421083661023
0.907537688442211,93.61809045226131,-199.98913469952038
0.907537688442211,94.07035175879398,-199.99392812183797
0.907537688442211,94.52261306532664,-199.99859861691004
0.907537688442211,94.9748743718593,-200.00315369808385
0.907537688442211,95.42713567839196,-200.00760087870643
0.907537688442211,95.87939698492463,-200.01194767212473
0.907537688442211,96.33165829145729,-200.01620159168587
0.907537688442211,96.78391959798995,-200.02037015073697
0.907537688442211,97.23618090452261,-200.02446086262538
0.907537688442211,97.68844221105527,-200.02848124069777
0.907537688442211,98.14070351758794,-200.03243879830143
0.907537688442211,98.5929648241206,-200.03634104878338
0.907537688442211,99.04522613065326,-200.04019550549083
0.907537688442211,99.49748743718592,-200.0440096817708
0.907537688442211,99.9497487437186,-200.04779109097026
0.907537688442211,100.40201005025125,-200.05154724643646
0.907537688442211,100.85427135678393,-200.05528566151642
0.907537688442211,101.30653266331659,-200.05901384955715
0.907537688442211,101.75879396984925,-200.0627393239059
0.907537688442211,102.21105527638191,-200.06646959790973
0.907537688442211,102.66331658291458,-200.07021218491562
0.907537688442211,103.11557788944724,-200.07397459827072
0.907537688442211,103.5678391959799,-200.0777643513221
0.907537688442211,104.02010050251256,-200.0815889574168
0.907537688442211,104.47236180904522,-200.08545592990208
0.907537688442211,104.92462311557789,-200.08937278212477
0.907537688442211,105.37688442211055,-200.0933470274323
0.907537688442211,105.82914572864321,-200.0973861791713
0.907537688442211,106.28140703517587,-200.10149775068925
0.907537688442211,106.73366834170855,-200.10568925533303
0.907537688442211,107.1859296482412,-200.1099682064499
