bond,angle,polynomial
0.9,113.06532663316582,-200.13713514823073
0.9,113.5175879396985,-200.14091989721507
0.9,113.96984924623115,-200.1446783340873
0.9,114.42211055276383,-200.14841012546788
0.9,114.87437185929649,-200.1521149436906
0.9,115.32663316582915,-200.15579246680247
0.9,115.77889447236181,-200.15944237856357
0.9,116.23115577889448,-200.16306436844738
0.9,116.68341708542714,-200.16665813164042
0.9,117.1356783919598,-200.17022336904262
0.9,117.58793969849246,-200.17375978726696
0.9,118.04020100502512,-200.17726709863976
0.9,118.49246231155779,-200.1807450212003
0.9,118.94472361809045,-200.18419327870157
0.9,119.39698492462311,-200.1876116006092
0.9,119.84924623115577,-200.1909997221025
0.9,120.30150753768845,-200.19435738407373
0.9,120.7537688442211,-200.1976843331284
0.9,121.20603015075378,-200.20098032158526
0.9,121.65829145728644,-200.20424510747645
0.9,122.1105527638191,-200.207478454547
0.9,122.56281407035176,-200.2106801322553
0.9,123.01507537688443,-200.21384991577318
0.9,123.46733668341709,-200.21698758598544
0.9,123.91959798994975,-200.22009292948988
0.9,124.37185929648241,-200.22316573859797
0.9,124.82412060301507,-200.22620581133424
0.9,125.27638190954774,-200.22921295143632
0.9,125.7286432160804,-200.23218696835508
0.9,126.18090452261308,-200.2351276772548
0.9,126.63316582914572,-200.23803489901272
0.9,127.0854271356784,-200.24090846021943
0.9,127.53768844221105,-200.24374819317876
0.9,127.98994974874373,-200.2465539359075
0.9,128.44221105527637,-200.2493255321362
0.9,128.89447236180905,-200.25206283130802
0.9,129.3467336683417,-200.2547656885797
0.9,129.79899497487438,-200.25743396482113
0.9,130.25125628140705,-200.2600675266153
0.9,130.7035175879397,-200.26266624625856
0.9,131.15577889447235,-200.26523000176044
0.9,131.60804020100502,-200.26775867684353
0.9,132.0603015075377,-200.2702521609439
0.9,132.51256281407035,-200.2727103492107
0.9,132.96482412060303,-200.27513314250618
0.9,133.41708542713567,-200.277520447406
0.9,133.86934673366835,-200.279872176199
0.9,134.321608040201,-200.28218824688713
0.9,134.77386934673368,-200.28446858318557
0.9,135.22613065326632,-200.28671311452285
0.9,135.678391959799,-200.28892177604064
0.9,136.13065326633165,-200.29109450859372
0.9,136.58291457286433,-200.29323125875032
0.9,137.035175879397,-200.2953319787916
0.9,137.48743718592965,-200.29739662671213
0.9,137.9396984924623,-200.29942516621972
0.9,138.39195979899498,-200.3014175667352
0.9,138.84422110552765,-200.30337380339282
0.9,139.2964824120603,-200.30529385704
0.9,139.74874371859298,-200.3071777142372
0.9,140.20100502512562,-200.3090253672583
0.9,140.6532663316583,-200.3108368140904
0.9,141.10552763819095,-200.31261205843361
0.9,141.55778894472363,-200.3143511097016
0.9,142.01005025125627,-200.31605398302082
0.9,142.46231155778895,-200.31772069923124
0.9,142.9145728643216,-200.319351284886
0.9,143.36683417085428,-200.3209457722514
0.9,143.81909547738695,-200.32250419930693
0.9,144.2713567839196,-200.3240266097454
0.9,144.72361809045225,-200.3255130529728
0.9,145.17587939698493,-200.32696358410828
0.9,145.6281407035176,-200.32837826398423
0.9,146.08040201005025,-200.32975715914623
0.9,146.53266331658293,-200.33110034185316
0.9,146.98492462311557,-200.33240789007712
0.9,147.43718592964825,-200.33367988750322
0.9,147.8894472361809,-200.33491642353002
0.9,148.34170854271358,-200.33611759326922
0.9,148.79396984924622,-200.33728349754577
0.9,149.2462311557789,-200.33841424289767
0.9,149.69849246231155,-200.3395099415764
0.9,150.15075376884423,-200.34057071154643
0.9,150.6030150753769,-200.34159667648547
0.9,151.05527638190955,-200.34258796578462
0.9,151.5075376884422,-200.34354471454802
0.9,151.95979899497488,-200.34446706359304
0.9,152.41206030150755,-200.34535515945046
0.9,152.8643216080402,-200.34620915436403
0.9,153.31658291457288,-200.3470292062907
0.9,153.76884422110552,-200.34781547890097
0.9,154.2211055276382,-200.34856814157817
0.9,154.67336683417085,-200.34928736941905
0.9,155.12562814070353,-200.34997334323356
0.9,155.5778894472362,-200.35062624954486
0.9,156.03015075376885,-200.35124628058918
0.9,156.4824120603015,-200.3518336343162
0.9,156.93467336683418,-200.35238851438865
0.9,157.38693467336685,-200.35291113018258
0.9,157.8391959798995,-200.35340169678722
0.9,158.29145728643215,-200.35386043500495
0.9,158.74371859296483,-200.35428757135136
0.9,159.1959798994975,-200.3546833380554
0.9,159.64824120603015,-200.35504797305916
0.9,160.1005025125628,-200.35538172001785
0.9,160.55276381909547,-200.3556848283001
0.9,161.00502512562815,-200.35595755298746
0.9,161.4572864321608,-200.35620015487507
0.9,161.90954773869348,-200.35641290047093
0.9,162.36180904522615,-200.35659606199647
0.9,162.8140703517588,-200.3567499173862
0.9,163.26633165829145,-200.35687475028803
0.9,163.71859296482413,-200.356970850063
0.9,164.1708542713568,-200.35703851178516
0.9,164.62311557788945,-200.35707803624214
0.9,165.0753768844221,-200.3570897299346
0.9,165.52763819095478,-200.3570739050762
0.9,165.97989949748745,-200.35703087959428
0.9,166.4321608040201,-200.35696097712903
0.9,166.88442211055275,-200.35686452703393
0.9,167.33668341708542,-200.3567418643759
0.9,167.7889447236181,-200.35659332993478
0.9,168.24120603015075,-200.3564192702036
0.9,168.69346733668343,-200.356220037389
0.9,169.1457286432161,-200.35599598941047
0.9,169.59798994974875,-200.35574748990072
0.9,170.0502512562814,-200.355474908206
0.9,170.50251256281408,-200.3551786193854
0.9,170.95477386934675,-200.35485900421148
0.9,171.4070351758794,-200.35451644916975
0.9,171.85929648241205,-200.35415134645928
0.9,172.31155778894473,-200.35376409399214
0.9,172.7638190954774,-200.35335509539357
0.9,173.21608040201005,-200.35292476000222
0.9,173.6683417085427,-200.3524735028698
0.9,174.12060301507537,-200.35200174476125
0.9,174.57286432160805,-200.35150991215488
0.9,175.0251256281407,-200.35099843724183
0.9,175.47738693467338,-200.35046775792696
0.9,175.92964824120605,-200.34991831782804
0.9,176.3819095477387,-200.34935056627612
0.9,176.83417085427135,-200.34876495831548
0.9,177.28643216080403,-200.34816195470344
0.9,177.7386934673367,-200.34754202191084
0.9,178.19095477386935,-200.3469056321217
0.9,178.643216080402,-200.34625326323294
0.9,179.09547738693468,-200.34558539885495
0.9,179.54773869346735,-200.34490252831134
0.9,180.0,-200.34420514663887
0.907537688442211,90.0,-199.98072367838358
0.907537688442211,90.45226130653266,-199.9851466024705
0.907537688442211,90.90452261306532,-199.98956840715974
0.907537688442211,91.35678391959799,-199.99398846657735
