bond,polynomial,linear
1.9601503759398495,-200.93430322183985,-200.93367780310282
1.96390977443609,-200.93373780565557,-200.93309919146427
1.9676691729323306,-200.93315802980388,-200.9325205798257
1.971428571428571,-200.93256306585894,-200.93194196818718
1.9751879699248116,-200.93195238291952,-200.93136335654862
1.9789473684210526,-200.9313257602649,-200.93078474491006
1.982706766917293,-200.93068329747229,-200.9302061332715
1.9864661654135336,-200.93002542174764,-200.92962752163294
1.9902255639097741,-200.92935289223206,-200.92904890999438
1.9939849624060146,-200.92866680105445,-200.92847029835582
1.9977443609022552,-200.9279685709161,-200.9278916867173
2.001503759398496,-200.9272599490082,-200.92735218224874
2.0052631578947366,-200.9265429970813,-200.92687133853522
2.009022556390977,-200.92582007750906,-200.9263904948217
2.0127819548872177,-200.92509383521104,-200.92590965110819
2.016541353383458,-200.92436717532797,-200.92542880739467
2.020300751879699,-200.92364323657316,-200.92494796368115
2.0240601503759397,-200.92292536021665,-200.92446711996763
2.02781954887218,-200.92221705469566,-200.92398627625408
2.0315789473684207,-200.9215219558842,-200.92350543254057
2.0353383458646612,-200.92084378309755,-200.92302458882705
2.0390977443609017,-200.92018629095188,-200.92254374511353
2.0428571428571427,-200.91955321724936,-200.9220629014
2.0466165413533832,-200.9189482271084,-200.9215820576865
2.0503759398496237,-200.91837485361398,-200.92110121397297
2.0541353383458643,-200.91783643531923,-200.92062037025946
2.0578947368421048,-200.91733605098716,-200.92013952654594
2.0616541353383457,-200.91687645202435,-200.91965868283242
2.0654135338345863,-200.9164599931192,-200.9191778391189
2.0691729323308268,-200.91608856166346,-200.91869699540538
2.0729323308270673,-200.9157635066007,-200.91821615169187
2.076691729323308,-200.91548556741222,-200.91773530797835
2.0804511278195488,-200.91525480401833,-200.91725446426483
2.0842105263157893,-200.91507052844025,-200.9167736205513
2.08796992481203,-200.91493123913457,-200.9162927768378
2.0917293233082703,-200.91483455897796,-200.91581193312427
2.095488721804511,-200.91477717794464,-200.91533108941076
2.0992481203007514,-200.91475480158044,-200.91485024569724
2.1030075187969923,-200.9147621064365,-200.9139311419575
2.106766917293233,-200.9147927036804,-200.91290247321123
2.1105263157894734,-200.9148391121534,-200.91187380446493
2.114285714285714,-200.91489274218688,-200.91084513571866
2.1180451127819544,-200.9149438915283,-200.9098164669724
2.1218045112781954,-200.914981754759,-200.90878779822611
2.125563909774436,-200.91499444760512,-200.90775912947984
2.1293233082706764,-200.91496904755596,-200.90673046073357
2.133082706766917,-200.91489165220193,-200.90570179198727
2.1368421052631574,-200.91474745669146,-200.904673123241
2.140601503759398,-200.91452085167737,-200.90364445449472
2.144360902255639,-200.91419554307862,-200.90261578574845
2.1481203007518794,-200.913754694921,-200.90158711700218
2.15187969924812,-200.91318109643692,-200.90055844825588
2.1556390977443605,-200.9124573545001,-200.8995297795096
2.159398496240601,-200.91156611234285,-200.89850111076333
2.163157894736842,-200.91049029534645,-200.89747244201706
2.1669172932330825,-200.90921338451378,-200.8964437732708
2.170676691729323,-200.90771971801595,-200.8954151045245
2.1744360902255635,-200.90599482095658,-200.89438643577822
2.178195488721804,-200.90402576321068,-200.89335776703194
2.181954887218045,-200.9018015448701,-200.89232909828567
2.1857142857142855,-200.8993135084571,-200.8913004295394
2.189473684210526,-200.89655577665462,-200.89027176079313
2.1932330827067665,-200.89352571383452,-200.88924309204683
2.196992481203007,-200.8902244091494,-200.88821442330055
2.2007518796992476,-200.88665717837512,-200.8874035669757
2.2045112781954885,-200.88283408105687,-200.8874639603365
2.208270676691729,-200.87877044880673,-200.88752435369727
2.2120300751879696,-200.87448741982968,-200.88758474705807
2.21578947368421,-200.8700124739061,-200.88764514041887
2.2195488721804506,-200.86537996113273,-200.88770553377967
2.2233082706766916,-200.86063161671126,-200.88776592714046
2.227067669172932,-200.85581705297145,-200.88782632050126
2.2308270676691726,-200.85099421861818,-200.88788671386206
2.234586466165413,-200.84622981389165,-200.88794710722286
2.2383458646616536,-200.84159964892123,-200.88800750058365
2.242105263157894,-200.83718893103367,-200.88806789394445
2.245864661654135,-200.83309246513093,-200.88812828730525
2.2496240601503756,-200.82941474948365,-200.88818868066605
2.253383458646616,-200.82626994737868,-200.88824907402685
2.2571428571428567,-200.8237817130112,-200.88830946738764
2.260902255639097,-200.82208284781078,-200.88836986074844
2.264661654135338,-200.82131476103248,-200.8884302541092
2.2684210526315787,-200.82162670591714,-200.88849064747
2.272180451127819,-200.82317476002214,-200.8885510408308
2.2759398496240597,-200.82612051543407,-200.8886114341916
2.2796992481203002,-200.8306294414915,-200.8886718275524
2.283458646616541,-200.83686887935494,-200.8887322209132
2.2872180451127817,-200.84500562425492,-200.888792614274
2.2909774436090222,-200.85520304751768,-200.8888530076348
2.2947368421052627,-200.8676177064951,-200.8889134009956
