distance,polynomial,linear
1.030162703379224,-147.56620041106066,-147.48691080811798
1.0321652065081353,-147.56956997863756,-147.4917689395952
1.0341677096370463,-147.57288479930747,-147.4966270710724
1.0361702127659576,-147.57614575635563,-147.50148520254962
1.0381727158948686,-147.57935371697258,-147.5063433340268
1.0401752190237799,-147.5825095325046,-147.51120146550403
1.0421777221526909,-147.58561403870075,-147.51605959698122
1.0441802252816021,-147.58866805595787,-147.52091772845844
1.0461827284105132,-147.59167238956232,-147.52577585993564
1.0481852315394244,-147.59462782992938,-147.53063399141286
1.0501877346683355,-147.5975351528399,-147.53549212289005
1.0521902377972467,-147.60039511967432,-147.54035025436727
1.0541927409261578,-147.60320847764402,-147.54520838584446
1.0561952440550688,-147.60597596002017,-147.55006651732168
1.05819774718398,-147.60869828635992,-147.5549246487989
1.0602002503128911,-147.61137616273,-147.5597827802761
1.0622027534418024,-147.6140102819279,-147.56464091175332
1.0642052565707134,-147.6166013237004,-147.5694990432305
1.0662077596996247,-147.61914995495954,-147.57435717470773
1.0682102628285357,-147.62165682999637,-147.57921530618492
1.070212765957447,-147.62412259069183,-147.58407343766214
1.072215269086358,-147.62654786672547,-147.58893156913933
1.0742177722152693,-147.62893327578166,-147.59378970061655
1.0762202753441803,-147.63127942375317,-147.59864783209375
1.0782227784730916,-147.63358690494277,-147.60350596357097
1.0802252816020026,-147.63585630226194,-147.60836409504816
1.0822277847309136,-147.63808818742754,-147.61322222652538
1.084230287859825,-147.64028312115613,-147.6180803580026
1.086232790988736,-147.6424416533556,-147.6229384894798
1.0882352941176472,-147.64456432331497,-147.627796620957
1.0902377972465582,-147.64665165989146,-147.6326547524342
1.0922403003754695,-147.64870418169556,-147.63751288391143
1.0942428035043805,-147.6507223972737,-147.64237101538862
1.0962453066332918,-147.65270680528855,-147.64722914686584
1.0982478097622028,-147.65465789469732,-147.65208727834303
1.100250312891114,-147.65657614492778,-147.65643751373605
1.1022528160200251,-147.65846202605184,-147.6572324765397
1.1042553191489364,-147.66031599895726,-147.6580274393433
1.1062578222778474,-147.66213851551697,-147.65882240214694
1.1082603254067585,-147.66393001875636,-147.65961736495055
1.1102628285356697,-147.6656909430183,-147.6604123277542
1.1122653316645807,-147.6674217141261,-147.66120729055783
1.114267834793492,-147.66912274954453,-147.66200225336144
1.116270337922403,-147.6707944585384,-147.66279721616507
1.1182728410513143,-147.67243724232932,-147.6635921789687
1.1202753441802253,-147.67405149425034,-147.66438714177232
1.1222778473091366,-147.67563759989852,-147.66518210457596
1.1242803504380476,-147.67719593728552,-147.66597706737957
1.126282853566959,-147.67872687698605,-147.6667720301832
1.12828535669587,-147.68023078228455,-147.66756699298685
1.1302878598247812,-147.68170800931966,-147.66836195579046
1.1322903629536922,-147.68315890722687,-147.6691569185941
1.1342928660826033,-147.6845838182791,-147.6699518813977
1.1362953692115145,-147.6859830780255,-147.67074684420135
1.1382978723404256,-147.68735701542823,-147.67154180700499
1.1403003754693368,-147.68870595299734,-147.6723367698086
1.1423028785982479,-147.69003020692372,-147.67313173261223
1.1443053817271591,-147.69133008721036,-147.67392669541587
1.1463078848560702,-147.69260589780154,-147.67472165821948
1.1483103879849814,-147.69385793671026,-147.67551662102312
1.1503128911138925,-147.69508649614394,-147.67631158382673
1.1523153942428035,-147.6962918626281,-147.67710654663037
1.1543178973717148,-147.6974743171284,-147.677901509434
1.156320400500626,-147.69863413517098,-147.67869647223762
1.158322903629537,-147.6997715869607,-147.67949143504126
1.160325406758448,-147.70088693749804,-147.6802863978449
1.1623279098873593,-147.7019804466939,-147.6810813606485
1.1643304130162704,-147.703052369483,-147.68187632345214
1.1663329161451816,-147.70410295593533,-147.68267128625575
1.1683354192740927,-147.705132451366,-147.6834662490594
1.170337922403004,-147.70614109644342,-147.68426121186303
