bond,angle,spline
0.9150753768844221,96.78391959798995,-15.289298749701228
0.9150753768844221,97.23618090452261,-15.29029210990029
0.9150753768844221,97.68844221105527,-15.291276175743667
0.9150753768844221,98.14070351758794,-15.292251018583222
0.9150753768844221,98.5929648241206,-15.293216709770848
0.9150753768844221,99.04522613065326,-15.294173320658409
0.9150753768844221,99.49748743718592,-15.295120922597782
0.9150753768844221,99.9497487437186,-15.29605958694085
0.9150753768844221,100.40201005025125,-15.296989385039481
0.9150753768844221,100.85427135678393,-15.297910388245553
0.9150753768844221,101.30653266331659,-15.298822667910946
0.9150753768844221,101.75879396984925,-15.29972629538753
0.9150753768844221,102.21105527638191,-15.30062134202718
0.9150753768844221,102.66331658291458,-15.301507879181775
0.9150753768844221,103.11557788944724,-15.302385978203196
0.9150753768844221,103.5678391959799,-15.3032557104433
0.9150753768844221,104.02010050251256,-15.304117147253987
0.9150753768844221,104.47236180904522,-15.304970359987118
0.9150753768844221,104.92462311557789,-15.30581541999456
0.9150753768844221,105.37688442211055,-15.306652398628215
0.9150753768844221,105.82914572864321,-15.307481367239934
0.9150753768844221,106.28140703517587,-15.308302397181606
0.9150753768844221,106.73366834170855,-15.309115559805106
0.9150753768844221,107.1859296482412,-15.309920926462302
0.9150753768844221,107.63819095477388,-15.310718568505077
0.9150753768844221,108.09045226130654,-15.311508557285302
0.9150753768844221,108.5427135678392,-15.312290964154862
0.9150753768844221,108.99497487437186,-15.313065860465624
0.9150753768844221,109.44723618090453,-15.313833317569454
0.9150753768844221,109.89949748743719,-15.314593406818245
0.9150753768844221,110.35175879396985,-15.315346198284114
0.9150753768844221,110.80402010050251,-15.316091751875792
0.9150753768844221,111.25628140703517,-15.316830122655366
0.9150753768844221,111.70854271356784,-15.317561365655076
0.9150753768844221,112.1608040201005,-15.318285535907156
0.9150753768844221,112.61306532663316,-15.319002688443849
0.9150753768844221,113.06532663316582,-15.319712878297395
0.9150753768844221,113.5175879396985,-15.320416160500026
0.9150753768844221,113.96984924623115,-15.32111259008399
0.9150753768844221,114.42211055276383,-15.32180222208153
0.9150753768844221,114.87437185929649,-15.322485111524877
0.9150753768844221,115.32663316582915,-15.323161313446272
0.9150753768844221,115.77889447236181,-15.323830882877953
0.9150753768844221,116.23115577889448,-15.324493874852163
0.9150753768844221,116.68341708542714,-15.325150344401132
0.9150753768844221,117.1356783919598,-15.325800346557116
0.9150753768844221,117.58793969849246,-15.32644393635234
0.9150753768844221,118.04020100502512,-15.32708116881905
0.9150753768844221,118.49246231155779,-15.327712098989483
0.9150753768844221,118.94472361809045,-15.328336781895873
0.9150753768844221,119.39698492462311,-15.328955272570472
0.9150753768844221,119.84924623115577,-15.329567626045511
0.9150753768844221,120.30150753768845,-15.330173896618863
0.9150753768844221,120.7537688442211,-15.33077413005144
0.9150753768844221,121.20603015075378,-15.331368366596408
0.9150753768844221,121.65829145728644,-15.331956646415144
0.9150753768844221,122.1105527638191,-15.332539009669041
0.9150753768844221,122.56281407035176,-15.33311549651947
0.9150753768844221,123.01507537688443,-15.333686147127814
0.9150753768844221,123.46733668341709,-15.334251001655455
0.9150753768844221,123.91959798994975,-15.334810100263772
0.9150753768844221,124.37185929648241,-15.335363483114145
0.9150753768844221,124.82412060301507,-15.335911190367952
0.9150753768844221,125.27638190954774,-15.336453262186577
0.9150753768844221,125.7286432160804,-15.336989738731397
0.9150753768844221,126.18090452261308,-15.337520660163799
0.9150753768844221,126.63316582914572,-15.338046066645152
0.9150753768844221,127.0854271356784,-15.338565998336849
0.9150753768844221,127.53768844221105,-15.339080495400253
0.9150753768844221,127.98994974874373,-15.339589597996765
0.9150753768844221,128.44221105527637,-15.340093346287748
0.9150753768844221,128.89447236180905,-15.340591780434599
0.9150753768844221,129.3467336683417,-15.34108494059868
0.9150753768844221,129.79899497487438,-15.34157286694138
0.9150753768844221,130.25125628140705,-15.342055599239492
0.9150753768844221,130.7035175879397,-15.342533170365597
0.9150753768844221,131.15577889447235,-15.343005607220324
0.9150753768844221,131.60804020100502,-15.343472936507398
0.9150753768844221,132.0603015075377,-15.343935184930528
0.9150753768844221,132.51256281407035,-15.344392379193453
0.9150753768844221,132.96482412060303,-15.344844545999884
0.9150753768844221,133.41708542713567,-15.345291712053545
0.9150753768844221,133.86934673366835,-15.345733904058157
0.9150753768844221,134.321608040201,-15.346171148717433
0.9150753768844221,134.77386934673368,-15.346603472735117
0.9150753768844221,135.22613065326632,-15.347030902814904
0.9150753768844221,135.678391959799,-15.347453465660521
0.9150753768844221,136.13065326633165,-15.347871187975704
0.9150753768844221,136.58291457286433,-15.348284096464164
0.9150753768844221,137.035175879397,-15.34869221782962
0.9150753768844221,137.48743718592965,-15.349095578775797
0.9150753768844221,137.9396984924623,-15.349494206006417
0.9150753768844221,138.39195979899498,-15.349888126225194
0.9150753768844221,138.84422110552765,-15.350277366135858
0.9150753768844221,139.2964824120603,-15.350661952442117
0.9150753768844221,139.74874371859298,-15.351041911847712
0.9150753768844221,140.20100502512562,-15.351417270878606
0.9150753768844221,140.6532663316583,-15.35178805067025
0.9150753768844221,141.10552763819095,-15.352154266126053
0.9150753768844221,141.55778894472363,-15.35251593180226
0.9150753768844221,142.01005025125627,-15.352873062255156
0.9150753768844221,142.46231155778895,-15.353225672040985
0.9150753768844221,142.9145728643216,-15.353573775716
0.9150753768844221,143.36683417085428,-15.353917387836473
0.9150753768844221,143.81909547738695,-15.35425652295866
0.9150753768844221,144.2713567839196,-15.354591195638818
0.9150753768844221,144.72361809045225,-15.354921420433211
0.9150753768844221,145.17587939698493,-15.355247211898098
0.9150753768844221,145.6281407035176,-15.355568584589745
0.9150753768844221,146.08040201005025,-15.35588555306439
0.9150753768844221,146.53266331658293,-15.356198131878319
0.9150753768844221,146.98492462311557,-15.356506335587769
0.9150753768844221,147.43718592964825,-15.356810178749024
0.9150753768844221,147.8894472361809,-15.357109675918316
0.9150753768844221,148.34170854271358,-15.35740484165193
0.9150753768844221,148.79396984924622,-15.357695690506114
0.9150753768844221,149.2462311557789,-15.357982237037124
0.9150753768844221,149.69849246231155,-15.358264495801226
0.9150753768844221,150.15075376884423,-15.358542481297054
0.9150753768844221,150.6030150753769,-15.35881620456577
0.9150753768844221,151.05527638190955,-15.359085671289439
0.9150753768844221,151.5075376884422,-15.359350886689148
0.9150753768844221,151.95979899497488,-15.359611855985975
0.9150753768844221,152.41206030150755,-15.359868584400996
0.9150753768844221,152.8643216080402,-15.360121077155288
0.9150753768844221,153.31658291457288,-15.360369339469926
0.9150753768844221,153.76884422110552,-15.36061337656599
0.9150753768844221,154.2211055276382,-15.360853193664555
0.9150753768844221,154.67336683417085,-15.361088795986706
0.9150753768844221,155.12562814070353,-15.36132018875352
0.9150753768844221,155.5778894472362,-15.361547377186069
0.9150753768844221,156.03015075376885,-15.361770366505429
0.9150753768844221,156.4824120603015,-15.361989161932685
0.9150753768844221,156.93467336683418,-15.362203768688916
0.9150753768844221,157.38693467336685,-15.362414191995189
0.9150753768844221,157.8391959798995,-15.36262043707259
0.9150753768844221,158.29145728643215,-15.362822509142195
0.9150753768844221,158.74371859296483,-15.363020413425078
0.9150753768844221,159.1959798994975,-15.363214155142321
0.9150753768844221,159.64824120603015,-15.36340373951501
0.9150753768844221,160.1005025125628,-15.363589171752928
0.9150753768844221,160.55276381909547,-15.363770455234697
0.9150753768844221,161.00502512562815,-15.363947589498963
