r_no,spline,linear
1.3842105263157896,-181.23576822165913,-181.23582086779118
1.3877192982456141,-181.2346626169237,-181.23471632716453
1.3912280701754387,-181.2335636736379,-181.2336117865379
1.394736842105263,-181.2324721500045,-181.23250724591128
1.3982456140350876,-181.23138880422633,-181.23140270528464
1.4017543859649122,-181.23031438257482,-181.23039214052622
1.4052631578947368,-181.22924935689892,-181.22947555163597
1.4087719298245613,-181.2281939246252,-181.22855896274572
1.412280701754386,-181.2271482712487,-181.22764237385547
1.4157894736842105,-181.2261125822645,-181.22672578496525
1.419298245614035,-181.2250870431678,-181.225809196075
1.4228070175438596,-181.2240718394536,-181.22489260718476
1.4263157894736842,-181.22306715661702,-181.2239760182945
1.4298245614035088,-181.22207318015316,-181.2230594294043
1.4333333333333333,-181.22109009555712,-181.22214284051404
1.4368421052631577,-181.220118088324,-181.2212262516238
1.4403508771929823,-181.2191573439489,-181.22030966273357
1.4438596491228068,-181.21820804792696,-181.21939307384332
1.4473684210526314,-181.21727038575318,-181.21847648495307
1.450877192982456,-181.21634454292274,-181.21755989606282
1.4543859649122806,-181.21543070493075,-181.2166433071726
1.4578947368421051,-181.2145290572722,-181.21572671828235
1.4614035087719297,-181.2136397854423,-181.2148101293921
1.4649122807017543,-181.21276307493608,-181.21389354050186
1.4684210526315788,-181.2118991112487,-181.21297695161164
1.4719298245614034,-181.2110480798752,-181.2120603627214
1.475438596491228,-181.21021016631067,-181.21114377383114
1.4789473684210526,-181.2093855560503,-181.2102271849409
1.4824561403508771,-181.20857443458908,-181.20931059605067
1.4859649122807017,-181.2077769874222,-181.20839400716042
1.4894736842105263,-181.20699340004467,-181.20747741827017
1.4929824561403509,-181.2062238579516,-181.20656082937992
1.4964912280701754,-181.2054685466382,-181.2056442404897
1.5,-181.20472765159946,-181.20472765159946
1.5035087719298246,-181.2040013009993,-181.2041806458624
1.5070175438596491,-181.20328939367664,-181.20363364012536
1.5105263157894737,-181.20259177113928,-181.20308663438828
1.5140350877192983,-181.20190827489503,-181.20253962865124
1.5175438596491229,-181.20123874645162,-181.2019926229142
1.5210526315789474,-181.20058302731678,-181.20144561717714
1.524561403508772,-181.19994095899827,-181.2008986114401
1.5280701754385966,-181.19931238300393,-181.20035160570302
1.5315789473684212,-181.19869714084143,-181.19980459996597
1.5350877192982457,-181.1980950740186,-181.19925759422892
1.5385964912280703,-181.19750602404312,-181.19871058849188
1.5421052631578946,-181.19692983242282,-181.19816358275483
1.5456140350877192,-181.19636634066546,-181.19761657701775
1.5491228070175438,-181.1958153902788,-181.1970695712807
1.5526315789473684,-181.19527682277058,-181.19652256554366
1.556140350877193,-181.19475047964852,-181.1959755598066
1.5596491228070175,-181.19423620242046,-181.19542855406957
1.563157894736842,-181.19373383259415,-181.19488154833252
1.5666666666666667,-181.1932432116773,-181.19433454259544
1.5701754385964912,-181.19276418117772,-181.1937875368584
1.5736842105263156,-181.19229658260312,-181.19324053112135
1.5771929824561401,-181.19184025746137,-181.1926935253843
1.5807017543859647,-181.19139504726013,-181.19214651964725
1.5842105263157893,-181.19096079350717,-181.19159951391018
1.5877192982456139,-181.19053733771028,-181.19105250817313
1.5912280701754384,-181.1901245213772,-181.19050550243608
1.594736842105263,-181.1897221860157,-181.18995849669903
1.5982456140350876,-181.18933017313358,-181.189411490962
1.6017543859649122,-181.18894832345364,-181.18900564261534
1.6052631578947367,-181.18857645964587,-181.18874095165913
1.6087719298245613,-181.18821438632727,-181.18847626070288
1.6122807017543859,-181.18786190733002,-181.18821156974667
1.6157894736842104,-181.18751882648624,-181.18794687879046
1.619298245614035,-181.18718494762805,-181.18768218783424
1.6228070175438596,-181.18686007458766,-181.18741749687803
1.6263157894736842,-181.18654401119719,-181.18715280592178
1.6298245614035087,-181.18623656128867,-181.18688811496557
1.6333333333333333,-181.18593752869438,-181.18662342400935
1.6368421052631579,-181.18564671724639,-181.18635873305314
1.6403508771929824,-181.18536393077684,-181.18609404209693
1.643859649122807,-181.1850889731179,-181.18582935114068
1.6473684210526316,-181.18482164810172,-181.18556466018447
1.6508771929824562,-181.18456175956032,-181.18529996922825
1.6543859649122807,-181.18430911132603,-181.18503527827204
1.6578947368421053,-181.18406350723083,-181.18477058731582
1.6614035087719299,-181.18382475110693,-181.18450589635958
1.6649122807017545,-181.18359264678648,-181.18424120540337
1.668421052631579,-181.1833669981016,-181.18397651444715
1.6719298245614036,-181.1831476088844,-181.18371182349094
1.6754385964912282,-181.18293428296707,-181.1834471325347
1.6789473684210525,-181.18272682418174,-181.18318244157848
1.682456140350877,-181.1825250363605,-181.18291775062227
1.6859649122807017,-181.18232872333553,-181.18265305966605
1.6894736842105262,-181.182137688939,-181.18238836870984
1.6929824561403508,-181.18195173700298,-181.1821236777536
1.6964912280701754,-181.18177067135966,-181.18185898679738
1.7,-181.18159429584117,-181.18159429584117
1.7035087719298245,-181.1814224300809,-181.18147051724338
1.707017543859649,-181.1812549569174,-181.18134673864557
