r_nn,spline,linear
1.6233082706766915,-181.14785942213516,-181.14946400356078
1.6265664160401,-181.14627412566665,-181.14805719770428
1.6298245614035087,-181.14470324161624,-181.1466503918478
1.6330827067669174,-181.1431478112032,-181.1452435859913
1.6363408521303258,-181.14160887564682,-181.1438367801348
1.6395989974937342,-181.14008747616637,-181.14242997427831
1.6428571428571428,-181.13858465398116,-181.1410231684218
1.6461152882205514,-181.1371014503104,-181.1396163625653
1.6493734335839598,-181.13563890637346,-181.1382095567088
1.6526315789473682,-181.13419806338956,-181.13680275085233
1.6558897243107769,-181.13277996257804,-181.13539594499582
1.6591478696741855,-181.13138564515813,-181.13398913913932
1.6624060150375939,-181.1300161523491,-181.13258233328284
1.6656641604010023,-181.12867252537026,-181.13117552742634
1.668922305764411,-181.12735580544094,-181.12976872156983
1.6721804511278195,-181.12606703378034,-181.12836191571336
1.675438596491228,-181.1248072516078,-181.12695510985685
1.6786967418546364,-181.12357750014255,-181.12554830400035
1.681954887218045,-181.1223788206039,-181.12414149814387
1.6852130325814536,-181.12121225421114,-181.12273469228737
1.688471177944862,-181.12007884218355,-181.12132788643086
1.6917293233082704,-181.11897962574042,-181.1199210805744
1.694987468671679,-181.11791564610098,-181.11851427471788
1.6982456140350877,-181.1168879444846,-181.11710746886138
1.7015037593984963,-181.11589752854303,-181.11608881392013
1.7047619047619047,-181.1149444742762,-181.11552300171334
1.708020050125313,-181.11402782766072,-181.11495718950655
1.7112781954887217,-181.11314658136942,-181.11439137729977
1.7145363408521304,-181.11229972807502,-181.11382556509298
1.7177944862155388,-181.1114862604504,-181.1132597528862
1.7210526315789472,-181.11070517116823,-181.1126939406794
1.7243107769423558,-181.1099554529014,-181.11212812847265
1.7275689223057644,-181.10923609832264,-181.11156231626586
1.7308270676691728,-181.10854610010475,-181.11099650405907
1.7340852130325812,-181.10788445092052,-181.1104306918523
1.7373433583959899,-181.10725014344274,-181.1098648796455
1.7406015037593985,-181.1066421703442,-181.1092990674387
1.7438596491228069,-181.10605952429765,-181.10873325523193
