r_nn,r_no,spline
0.90678391959799,1.2062814070351757,-180.918085349508
0.90678391959799,1.2100502512562812,-180.91821135125534
0.90678391959799,1.2138190954773866,-180.91829267541854
0.90678391959799,1.2175879396984923,-180.9183318459629
0.90678391959799,1.2213567839195978,-180.91833138685408
0.90678391959799,1.2251256281407032,-180.91829382205736
0.90678391959799,1.2288944723618087,-180.91822167553838
0.90678391959799,1.2326633165829144,-180.91811747126243
0.90678391959799,1.2364321608040199,-180.91798373319506
0.90678391959799,1.2402010050251255,-180.91782298530183
0.90678391959799,1.243969849246231,-180.91763775154794
0.90678391959799,1.2477386934673365,-180.91743055589922
0.90678391959799,1.251507537688442,-180.917203901922
0.90678391959799,1.2552763819095474,-180.916959500176
0.90678391959799,1.259045226130653,-180.91669803107666
0.90678391959799,1.2628140703517585,-180.9164201061933
0.90678391959799,1.2665829145728642,-180.9161263370953
0.90678391959799,1.2703517587939697,-180.91581733535187
0.90678391959799,1.2741206030150751,-180.91549371253225
0.90678391959799,1.2778894472361806,-180.91515608020583
0.90678391959799,1.281658291457286,-180.91480504994186
0.90678391959799,1.2854271356783917,-180.91444123330947
0.90678391959799,1.2891959798994972,-180.91406524187826
0.90678391959799,1.2929648241206029,-180.91367768721722
0.90678391959799,1.2967336683417083,-180.91327918089573
0.90678391959799,1.3005025125628138,-180.91287033448313
0.90678391959799,1.3042713567839193,-180.91245175954862
0.90678391959799,1.308040201005025,-180.91202406766155
0.90678391959799,1.3118090452261304,-180.91158787039114
0.90678391959799,1.3155778894472359,-180.91114377930674
0.90678391959799,1.3193467336683415,-180.91069240597758
0.90678391959799,1.323115577889447,-180.91023436197293
0.90678391959799,1.3268844221105525,-180.90977025886218
0.90678391959799,1.330653266331658,-180.9093007082145
0.90678391959799,1.3344221105527636,-180.90882632159926
0.90678391959799,1.338190954773869,-180.90834771058562
0.90678391959799,1.3419597989949745,-180.907865486743
0.90678391959799,1.3457286432160802,-180.90738026164055
0.90678391959799,1.3494974874371857,-180.90689264684764
0.90678391959799,1.3532663316582911,-180.90640325393363
0.90678391959799,1.3570351758793966,-180.9059126944676
0.90678391959799,1.3608040201005023,-180.90542158001904
0.90678391959799,1.3645728643216077,-180.90493052215703
0.90678391959799,1.3683417085427132,-180.9044401324511
0.90678391959799,1.3721105527638189,-180.9039510224703
0.90678391959799,1.3758793969849243,-180.90346380378404
0.90678391959799,1.3796482412060298,-180.90297908796157
0.90678391959799,1.3834170854271353,-180.90249748657214
0.90678391959799,1.387185929648241,-180.90201961118515
0.90678391959799,1.3909547738693464,-180.90154607336976
0.90678391959799,1.3947236180904519,-180.9010774846952
0.90678391959799,1.3984924623115575,-180.900614456731
0.90678391959799,1.402261306532663,-180.9001575781888
0.90678391959799,1.4060301507537685,-180.89970709576608
0.90678391959799,1.409798994974874,-180.8992629928768
0.90678391959799,1.4135678391959796,-180.89882524616215
0.90678391959799,1.417336683417085,-180.89839383226362
0.90678391959799,1.4211055276381908,-180.89796872782253
0.90678391959799,1.4248743718592962,-180.8975499094802
0.90678391959799,1.4286432160804017,-180.897137353878
0.90678391959799,1.4324120603015071,-180.89673103765736
0.90678391959799,1.4361809045226126,-180.89633093745954
0.90678391959799,1.4399497487437183,-180.89593702992593
0.90678391959799,1.4437185929648237,-180.89554929169788
0.90678391959799,1.4474874371859294,-180.89516769941676
0.90678391959799,1.4512562814070349,-180.8947922297239
0.90678391959799,1.4550251256281403,-180.89442285926063
0.90678391959799,1.4587939698492458,-180.89405956466834
0.90678391959799,1.4625628140703513,-180.89370232258844
0.90678391959799,1.466331658291457,-180.89335110966218
0.90678391959799,1.4701005025125624,-180.89300590253103
0.90678391959799,1.473869346733668,-180.89266667783616
0.90678391959799,1.4776381909547736,-180.89233341221916
0.90678391959799,1.481407035175879,-180.89200608232122
0.90678391959799,1.4851758793969845,-180.89168466478372
0.90678391959799,1.48894472361809,-180.89136913624802
0.90678391959799,1.4927135678391956,-180.89105947335548
0.90678391959799,1.496482412060301,-180.89075565274752
0.90678391959799,1.5002512562814068,-180.8904576510654
0.90678391959799,1.5040201005025122,-180.8901654449505
0.90678391959799,1.5077889447236177,-180.88987901104423
0.90678391959799,1.5115577889447231,-180.88959832598792
0.90678391959799,1.5153266331658286,-180.8893233664229
0.90678391959799,1.5190954773869343,-180.8890541089904
0.90678391959799,1.5228643216080398,-180.88879053033207
0.90678391959799,1.5266331658291454,-180.8885326070889
0.90678391959799,1.530402010050251,-180.88828031590265
0.90678391959799,1.5341708542713564,-180.8880336334144
0.90678391959799,1.5379396984924618,-180.88779253626544
