oo,polynomial,linear
2.5438596491228083,-148.73189895516757,-148.7309673724837
2.548872180451129,-148.73193002694876,-148.73094240966617
2.5538847117794496,-148.73193951247995,-148.73091744684865
2.558897243107771,-148.73192465172534,-148.73089248403113
2.5639097744360915,-148.73188300376228,-148.7308675212136
2.5689223057644126,-148.73181252955354,-148.7308425583961
2.5739348370927333,-148.73171167575936,-148.73081759557857
2.578947368421054,-148.7315794580672,-148.73079263276102
2.5839598997493747,-148.7314155423326,-148.7307676699435
2.5889724310776954,-148.7312203216448,-148.73074270712598
2.593984962406016,-148.730994987261,-148.73071774430846
2.598997493734337,-148.7307415911981,-148.73069278149094
2.604010025062658,-148.73046309813319,-148.73067092547234
2.609022556390979,-148.7301634241517,-148.73064984615348
2.6140350877192997,-148.72984745979795,-148.7306287668346
2.6190476190476204,-148.72952107483533,-148.73060768751574
2.624060150375941,-148.7291911021162,-148.7305866081969
2.629072681704262,-148.72886529800292,-148.730565528878
2.6340852130325825,-148.728552276879,-148.73054444955915
2.6390977443609036,-148.7282614174467,-148.7305233702403
2.6441102756892243,-148.72800273873577,-148.7305022909214
2.6491228070175454,-148.72778674405245,-148.73048121160255
2.654135338345866,-148.72762423148473,-148.73046013228367
2.659147869674187,-148.72752607005887,-148.7304390529648
2.6641604010025075,-148.72750294121687,-148.73041797364596
2.669172932330828,-148.72756504596276,-148.73039689432707
2.6741854636591493,-148.72772177881282,-148.73037581500822
2.67919799498747,-148.7279813705836,-148.73035473568933
2.684210526315791,-148.7283505030686,-148.73033365637048
2.689223057644112,-148.7288338997869,-148.73031257705162
2.6942355889724325,-148.72943389823948,-148.73029149773274
2.6992481203007532,-148.73015001047608,-148.73027041841388
2.704260651629074,-148.7309784802542,-148.73025717437383
2.7092731829573946,-148.73191184665384,-148.73024531303003
2.7142857142857157,-148.7329385256857,-148.73023345168625
2.7192982456140364,-148.7340424231827,-148.73022159034247
2.7243107769423576,-148.73520259407385,-148.7302097289987
2.7293233082706783,-148.73639296498024,-148.73019786765488
2.734335839598999,-148.7375821389173,-148.7301860063111
2.7393483709273196,-148.7387333026935,-148.73017414496732
2.7443609022556403,-148.73980425931947,-148.7301622836235
2.749373433583961,-148.7407476093329,-148.73015042227973
2.754385964912282,-148.74151110633213,-148.73013856093596
2.759398496240603,-148.7420382131248,-148.73012669959218
2.764411027568924,-148.7422688856563,-148.73011483824837
2.7694235588972447,-148.74214061217148,-148.7301029769046
2.7744360902255654,-148.7415897347848,-148.7300911155608
2.779448621553886,-148.7405530796427,-148.730079254217
2.7844611528822067,-148.73896992001931,-148.73006739287322
2.7894736842105274,-148.73678429381943,-148.73005553152944
2.7944862155388486,-148.73394769287356,-148.73004367018567
2.7994987468671697,-148.7304221359013,-148.73003180884186
2.8045112781954904,-148.72618362982888,-148.73002033011275
2.809523809523811,-148.72122601502022,-148.7300088938964
2.814536340852132,-148.7155651786125,-148.72999745768004
2.8195488721804525,-148.7092436061976,-148.72998602146367
2.824561403508773,-148.7023352251911,-148.72997458524733
2.8295739348370943,-148.6949504729697,-148.72996314903097
2.834586466165415,-148.68724149877136,-148.7299517128146
2.839598997493736,-148.67940737994357,-148.72994027659823
2.844611528822057,-148.67169919982658,-148.7299288403819
2.8496240601503775,-148.6644247957763,-148.72991740416552
2.854636591478698,-148.65795294086297,-148.72990596794915
2.859649122807019,-148.6527166709146,-148.72989453173278
2.8646616541353396,-148.64921540899977,-148.72988309551644
2.8696741854636607,-148.64801547123812,-148.72987165930007
2.8746867167919814,-148.64974846007928,-148.7298602230837
2.8796992481203025,-148.65510696280148,-148.72984878686736
2.8847117794486232,-148.66483687281945,-148.729837350651
2.889724310776944,-148.67972553820042,-148.72982591443463
2.8947368421052646,-148.70058481420625,-148.72981447821826
2.8997493734335853,-148.7282279532278,-148.72980304200192
2.904761904761906,-148.7634391045582,-148.72980222969076
2.909774436090227,-148.8069340163147,-148.7298019765325
2.914786967418548,-148.85931033059123,-148.72980172337427
2.919799498746869,-148.92098563857076,-148.72980147021605
2.9248120300751896,-148.99212121260746,-148.7298012170578
2.9298245614035103,-149.072529054943,-148.72980096389955
2.934837092731831,-149.1615595949912,-148.72980071074133
2.9398496240601517,-149.25796702646412,-148.72980045758308
2.944862155388473,-149.35974889886796,-148.72980020442483
2.9498746867167935,-149.4639561619898,-148.72979995126659
2.9548872180451147,-149.56646940337785,-148.72979969810837
2.9598997493734354,-149.66173651390463,-148.72979944495012
2.964912280701756,-149.7424664611764,-148.72979919179187
2.9699248120300767,-149.79927324069197,-148.72979893863362
2.9749373433583974,-149.8202634056121,-148.7297986854754
2.979949874686718,-149.79055984284054,-148.72979843231715
2.9849624060150393,-149.69175366068396,-148.7297981791589
2.98997493734336,-149.50127517601666,-148.72979792600066
2.994987468671681,-149.19167403048596,-148.72979767284244
3.0000000000000018,-148.72979741967987,-148.7297974196842
