dihedral,polynomial,linear
39.69924812030075,-148.7890150449836,-148.78894453235873
40.150375939849624,-148.78896839890842,-148.7890093152247
40.6015037593985,-148.7889343990499,-148.78908944866618
41.05263157894736,-148.78891408894376,-148.78916958210763
41.503759398496236,-148.78890817176264,-148.7892497155491
41.95488721804511,-148.78891702764125,-148.78932984899055
42.40601503759398,-148.78894073463334,-148.789409982432
42.857142857142854,-148.78897909264867,-148.78949011587346
43.30827067669173,-148.78903164973727,-148.78957024931495
43.7593984962406,-148.78909773011702,-148.7896503827564
44.21052631578947,-148.78917646337337,-148.78973051619786
44.661654135338345,-148.7892668142958,-148.78981064963932
45.11278195488722,-148.78936761285615,-148.78989078308078
45.56390977443609,-148.7894775838762,-148.78997091652224
46.01503759398496,-148.78959537597598,-148.79005104996372
46.46616541353383,-148.7897195894397,-148.79013118340518
46.9172932330827,-148.7898488026817,-148.79021131684664
47.368421052631575,-148.78998159704057,-148.7902914502881
47.81954887218045,-148.79011657967487,-148.79037158372955
48.27067669172932,-148.79025240437718,-148.79045171717104
48.721804511278194,-148.79038779016653,-148.7905318506125
49.17293233082707,-148.79052153755947,-148.79061198405395
49.62406015037594,-148.7906525424587,-148.7906921174954
50.07518796992481,-148.79077980763444,-148.79076894966246
50.526315789473685,-148.7909024518075,-148.79082927545753
50.97744360902255,-148.79101971637382,-148.79088960125256
51.42857142857142,-148.79113096983824,-148.79094992704762
51.879699248120296,-148.7912357100503,-148.79101025284265
52.33082706766917,-148.79133356435761,-148.79107057863772
52.78195488721804,-148.7914242878107,-148.79113090443275
53.233082706766915,-148.79150775956955,-148.7911912302278
53.68421052631579,-148.7915839776758,-148.79125155602287
54.13533834586466,-148.7916530523645,-148.7913118818179
54.58646616541353,-148.79171519809637,-148.79137220761297
55.037593984962406,-148.7917707244979,-148.791432533408
55.48872180451127,-148.79182002639723,-148.79149285920306
55.939849624060145,-148.79186357314524,-148.7915531849981
56.39097744360902,-148.791901897408,-148.79161351079316
56.84210526315789,-148.79193558361328,-148.7916738365882
57.29323308270676,-148.79196525622731,-148.79173416238325
57.744360902255636,-148.7919915680297,-148.79179448817828
58.19548872180451,-148.79201518854643,-148.79185481397334
58.64661654135338,-148.79203679278868,-148.79191513976838
59.097744360902254,-148.79205705043447,-148.79197546556344
59.54887218045113,-148.79207661557746,-148.79203579135847
60.0,-148.79209611715302,-148.79209611715353
60.451127819548866,-148.79211615013895,-148.79214212714092
60.90225563909774,-148.79213726761265,-148.7921881371283
61.35338345864661,-148.79215997373305,-148.79223414711566
61.804511278195484,-148.7921847177003,-148.79228015710305
62.25563909774436,-148.79221188873225,-148.79232616709044
62.70676691729323,-148.792241812082,-148.79237217707782
63.1578947368421,-148.79227474610758,-148.79241818706518
63.609022556390975,-148.79231088039094,-148.79246419705257
64.06015037593984,-148.79235033489132,-148.79251020703995
64.51127819548871,-148.79239316010523,-148.79255621702734
64.96240601503759,-148.7924393381951,-148.7926022270147
65.41353383458646,-148.79248878503788,-148.79264823700208
65.86466165413533,-148.79254135313536,-148.79269424698947
