bond,angle,polynomial
0.9150753768844221,112.1608040201005,-15.31855288102491
0.9150753768844221,112.61306532663316,-15.319268260019287
0.9150753768844221,113.06532663316582,-15.319976732286124
0.9150753768844221,113.5175879396985,-15.32067835513735
0.9150753768844221,113.96984924623115,-15.321373185341942
0.9150753768844221,114.42211055276383,-15.32206127912595
0.9150753768844221,114.87437185929649,-15.322742692172465
0.9150753768844221,115.32663316582915,-15.323417479621655
0.9150753768844221,115.77889447236181,-15.324085696070739
0.9150753768844221,116.23115577889448,-15.32474739557399
0.9150753768844221,116.68341708542714,-15.325402631642747
0.9150753768844221,117.1356783919598,-15.32605145724541
0.9150753768844221,117.58793969849246,-15.32669392480743
0.9150753768844221,118.04020100502512,-15.327330086211328
0.9150753768844221,118.49246231155779,-15.32795999279667
0.9150753768844221,118.94472361809045,-15.328583695360091
0.9150753768844221,119.39698492462311,-15.329201244155286
0.9150753768844221,119.84924623115577,-15.329812688893005
0.9150753768844221,120.30150753768845,-15.330418078741056
0.9150753768844221,120.7537688442211,-15.331017462324315
0.9150753768844221,121.20603015075378,-15.331610887724704
0.9150753768844221,121.65829145728644,-15.332198402481213
0.9150753768844221,122.1105527638191,-15.332780053589891
0.9150753768844221,122.56281407035176,-15.333355887503835
0.9150753768844221,123.01507537688443,-15.333925950133223
0.9150753768844221,123.46733668341709,-15.334490286845263
0.9150753768844221,123.91959798994975,-15.335048942464256
0.9150753768844221,124.37185929648241,-15.335601961271534
0.9150753768844221,124.82412060301507,-15.336149387005502
0.9150753768844221,125.27638190954774,-15.336691262861615
0.9150753768844221,125.7286432160804,-15.337227631492404
0.9150753768844221,126.18090452261308,-15.337758535007431
0.9150753768844221,126.63316582914572,-15.338284014973349
0.9150753768844221,127.0854271356784,-15.33880411241385
0.9150753768844221,127.53768844221105,-15.33931886780969
0.9150753768844221,127.98994974874373,-15.339828321098683
0.9150753768844221,128.44221105527637,-15.340332511675705
0.9150753768844221,128.89447236180905,-15.340831478392685
0.9150753768844221,129.3467336683417,-15.341325259558625
0.9150753768844221,129.79899497487438,-15.34181389293957
0.9150753768844221,130.25125628140705,-15.342297415758633
0.9150753768844221,130.7035175879397,-15.34277586469598
0.9150753768844221,131.15577889447235,-15.343249275888848
0.9150753768844221,131.60804020100502,-15.343717684931518
0.9150753768844221,132.0603015075377,-15.344181126875336
0.9150753768844221,132.51256281407035,-15.344639636228719
0.9150753768844221,132.96482412060303,-15.34509324695712
0.9150753768844221,133.41708542713567,-15.345541992483078
0.9150753768844221,133.86934673366835,-15.345985905686165
0.9150753768844221,134.321608040201,-15.346425018903027
0.9150753768844221,134.77386934673368,-15.346859363927365
0.9150753768844221,135.22613065326632,-15.347288972009945
0.9150753768844221,135.678391959799,-15.347713873858577
0.9150753768844221,136.13065326633165,-15.348134099638154
0.9150753768844221,136.58291457286433,-15.34854967897061
0.9150753768844221,137.035175879397,-15.348960640934937
0.9150753768844221,137.48743718592965,-15.349367014067196
0.9150753768844221,137.9396984924623,-15.349768826360505
0.9150753768844221,138.39195979899498,-15.35016610526503
0.9150753768844221,138.84422110552765,-15.350558877688016
0.9150753768844221,139.2964824120603,-15.350947169993752
0.9150753768844221,139.74874371859298,-15.351331008003589
0.9150753768844221,140.20100502512562,-15.351710416995939
0.9150753768844221,140.6532663316583,-15.352085421706276
0.9150753768844221,141.10552763819095,-15.352456046327125
0.9150753768844221,141.55778894472363,-15.352822314508071
0.9150753768844221,142.01005025125627,-15.353184249355778
0.9150753768844221,142.46231155778895,-15.353541873433935
0.9150753768844221,142.9145728643216,-15.35389520876332
0.9150753768844221,143.36683417085428,-15.35424427682175
0.9150753768844221,143.81909547738695,-15.354589098544118
0.9150753768844221,144.2713567839196,-15.354929694322358
0.9150753768844221,144.72361809045225,-15.355266084005484
0.9150753768844221,145.17587939698493,-15.35559828689955
0.9150753768844221,145.6281407035176,-15.355926321767674
0.9150753768844221,146.08040201005025,-15.356250206830046
0.9150753768844221,146.53266331658293,-15.356569959763895
0.9150753768844221,146.98492462311557,-15.356885597703526
0.9150753768844221,147.43718592964825,-15.357197137240291
0.9150753768844221,147.8894472361809,-15.357504594422613
0.9150753768844221,148.34170854271358,-15.357807984755967
0.9150753768844221,148.79396984924622,-15.35810732320288
0.9150753768844221,149.2462311557789,-15.35840262418295
0.9150753768844221,149.69849246231155,-15.358693901572833
0.9150753768844221,150.15075376884423,-15.358981168706238
0.9150753768844221,150.6030150753769,-15.359264438373938
0.9150753768844221,151.05527638190955,-15.359543722823762
0.9150753768844221,151.5075376884422,-15.3598190337606
0.9150753768844221,151.95979899497488,-15.360090382346398
0.9150753768844221,152.41206030150755,-15.360357779200168
0.9150753768844221,152.8643216080402,-15.360621234397971
0.9150753768844221,153.31658291457288,-15.36088075747294
0.9150753768844221,153.76884422110552,-15.361136357415255
0.9150753768844221,154.2211055276382,-15.36138804267216
0.9150753768844221,154.67336683417085,-15.361635821147962
0.9150753768844221,155.12562814070353,-15.361879700204025
0.9150753768844221,155.5778894472362,-15.362119686658762
0.9150753768844221,156.03015075376885,-15.362355786787658
0.9150753768844221,156.4824120603015,-15.362588006323254
0.9150753768844221,156.93467336683418,-15.362816350455146
0.9150753768844221,157.38693467336685,-15.363040823829992
0.9150753768844221,157.8391959798995,-15.363261430551518
0.9150753768844221,158.29145728643215,-15.363478174180488
0.9150753768844221,158.74371859296483,-15.363691057734743
0.9150753768844221,159.1959798994975,-15.363900083689177
0.9150753768844221,159.64824120603015,-15.364105253975744
0.9150753768844221,160.1005025125628,-15.364306569983452
0.9150753768844221,160.55276381909547,-15.364504032558377
0.9150753768844221,161.00502512562815,-15.364697642003657
0.9150753768844221,161.4572864321608,-15.364887398079466
0.9150753768844221,161.90954773869348,-15.365073300003067
0.9150753768844221,162.36180904522615,-15.365255346448759
0.9150753768844221,162.8140703517588,-15.365433535547915
0.9150753768844221,163.26633165829145,-15.365607864888961
0.9150753768844221,163.71859296482413,-15.365778331517381
0.9150753768844221,164.1708542713568,-15.365944931935719
0.9150753768844221,164.62311557788945,-15.366107662103582
0.9150753768844221,165.0753768844221,-15.366266517437628
0.9150753768844221,165.52763819095478,-15.366421492811584
0.9150753768844221,165.97989949748745,-15.366572582556223
0.9150753768844221,166.4321608040201,-15.3667197804594
0.9150753768844221,166.88442211055275,-15.366863079766
0.9150753768844221,167.33668341708542,-15.367002473177992
0.9150753768844221,167.7889447236181,-15.367137952854383
0.9150753768844221,168.24120603015075,-15.367269510411262
0.9150753768844221,168.69346733668343,-15.36739713692175
0.9150753768844221,169.1457286432161,-15.367520822916056
0.9150753768844221,169.59798994974875,-15.367640558381428
0.9150753768844221,170.0502512562814,-15.367756332762182
0.9150753768844221,170.50251256281408,-15.367868134959688
0.9150753768844221,170.95477386934675,-15.367975953332376
0.9150753768844221,171.4070351758794,-15.368079775695744
0.9150753768844221,171.85929648241205,-15.368179589322327
0.9150753768844221,172.31155778894473,-15.368275380941746
