r_nn,r_no,angle,hf,vqe,exact,n_qubits,n_params
1.5,1.3999999999999997,180.0,-181.0127435748288,-181.14551730829152,-181.1462051822823,6,26
1.35,1.3999999999999997,180.0,-181.11475818831306,-181.19579143750394,-181.20432030775444,6,26
1.2000000000000002,1.3999999999999997,180.0,-181.1891759566657,-181.23382814669614,-181.24647324323044,6,26
1.05,1.3999999999999997,180.0,-181.161050329561,-181.18545618724488,-181.19356942957032,6,26
0.9,1.3999999999999997,180.0,-180.86499805272314,-180.87821203670134,-180.8815385351636,6,26
0.9,1.5499999999999996,180.0,-180.86216791541312,-180.86538068403453,-180.86576713061066,6,26
1.05,1.5499999999999996,180.0,-181.15238419448545,-181.15899601884456,-181.16035851049335,6,26
1.2000000000000002,1.5499999999999996,180.0,-181.1739695079161,-181.18795338579525,-181.19207796603575,6,26
1.35,1.5499999999999996,180.0,-181.09128819310754,-181.12293936622766,-181.1311037909732,6,26
1.5,1.5499999999999996,180.0,-180.97687546630831,-181.05034577002348,-181.05580388403118,6,26
1.6500000000000001,1.5499999999999996,180.0,-180.86577137940725,-181.0019621660847,-181.00220025207062,6,26
1.8000000000000003,1.5499999999999996,180.0,-180.77972885363496,-180.94665236709292,-180.9559424425466,6,26
1.9500000000000002,1.5499999999999996,180.0,-180.7209497476823,-180.90651535022607,-180.92044805717214,6,26
2.1,1.5499999999999996,180.0,-180.68007549485495,-180.90385387820828,-180.90925680440955,6,26
2.25,1.5499999999999996,180.0,-180.65024737365738,-180.90600220975654,-180.90754321447136,6,26
2.25,1.6999999999999995,180.0,-180.57632793546034,-180.83990723619428,-180.84224045454934,6,26
2.1,1.6999999999999995,180.0,-180.6104553104879,-180.83942265393534,-180.84623413430535,6,26
1.9500000000000002,1.6999999999999995,180.0,-180.65872066228056,-180.84684800567615,-180.86238287896452,6,26
1.8000000000000003,1.6999999999999995,180.0,-180.73050118636303,-180.89792856307673,-180.90286648729318,6,26
1.6500000000000001,1.6999999999999995,180.0,-180.83425862528645,-180.93498408786758,-180.93542374888622,6,26
1.5,1.6999999999999995,180.0,-180.95732032637937,-180.98916685030977,-180.9928169539166,6,26
1.35,1.6999999999999995,180.0,-181.07821536212697,-181.08656588390534,-181.08795138024462,6,26
1.2000000000000002,1.6999999999999995,180.0,-181.16535143917912,-181.16818443181063,-181.1685117044339,6,26
1.05,1.6999999999999995,180.0,-181.14740598740423,-181.14860356100846,-181.14868722082417,6,26
0.9,1.6999999999999995,180.0,-180.86036153295194,-180.86093027952793,-180.86095394195294,6,26
