distance,polynomial,linear
1.0802252816020026,-195.842876336996,-195.8318556125407
1.0822277847309136,-195.84644595986342,-195.83633100264396
1.0842302878598247,-195.84996680476007,-195.84080639274723
1.086232790988736,-195.85343941469787,-195.84528178285046
1.088235294117647,-195.8568643261593,-195.84975717295373
1.0902377972465582,-195.86024206919325,-195.854232563057
1.0922403003754693,-195.8635731675101,-195.85870795316026
1.0942428035043805,-195.86685813857522,-195.86318334326353
1.0962453066332916,-195.8700974937015,-195.8676587333668
1.0982478097622028,-195.87329173814067,-195.87213412347006
1.1002503128911139,-195.87644137117323,-195.87632608471213
1.102252816020025,-195.8795468861974,-195.87853404392584
1.1042553191489362,-195.8826087708167,-195.88074200313957
1.1062578222778472,-195.8856275069263,-195.8829499623533
1.1082603254067585,-195.88860357079838,-195.88515792156704
1.1102628285356695,-195.8915374331658,-195.88736588078078
1.1122653316645807,-195.89442955930514,-195.88957383999448
1.1142678347934918,-195.89728040911808,-195.89178179920822
1.116270337922403,-195.90009043721176,-195.89398975842195
1.118272841051314,-195.90286009297796,-195.8961977176357
1.1202753441802251,-195.9055898206709,-195.89840567684942
1.1222778473091364,-195.90828005948416,-195.90061363606313
1.1242803504380476,-195.91093124362607,-195.90282159527686
1.1262828535669587,-195.9135438023942,-195.9050295544906
1.1282853566958697,-195.9161181602485,-195.90723751370433
1.130287859824781,-195.91865473688338,-195.90944547291807
1.132290362953692,-195.9211539472987,-195.91165343213177
1.1342928660826033,-195.92361620186935,-195.9138613913455
1.1362953692115143,-195.92604190641407,-195.91606935055924
1.1382978723404256,-195.9284314622629,-195.91827730977298
1.1403003754693366,-195.93078526632357,-195.9204852689867
1.1423028785982479,-195.93310371114686,-195.92269322820044
1.144305381727159,-195.93538718499084,-195.92490118741415
1.14630788485607,-195.93763607188407,-195.92710914662788
1.1483103879849812,-195.93985075168763,-195.92931710584162
1.1503128911138925,-195.94203160015624,-195.93152506505535
1.1523153942428035,-195.9441789889983,-195.9337330242691
1.1543178973717145,-195.94629328593487,-195.9359409834828
1.1563204005006258,-195.94837485475773,-195.93814894269653
1.1583229036295368,-195.95042405538635,-195.94035690191026
1.160325406758448,-195.95244124392391,-195.942564861124
1.1623279098873591,-195.95442677271242,-195.94477282033773
1.1643304130162702,-195.9563809903868,-195.94698077955144
1.1663329161451814,-195.95830424192803,-195.94918873876517
1.1683354192740927,-195.96019686871543,-195.9513966979789
1.1703379224030037,-195.96205920857793,-195.95360465719264
1.1723404255319148,-195.9638915958446,-195.95581261640638
