r_nn,polynomial,linear
1.756892230576441,-181.10338482517503,-181.10647000640478
1.7601503759398494,-181.10291783689928,-181.105904194198
1.763408521303258,-181.10247674663805,-181.1053383819912
1.7666666666666666,-181.10206062845262,-181.10477256978442
1.7699248120300752,-181.1016685022001,-181.10420675757763
1.7731829573934836,-181.10129933641932,-181.10364094537084
1.776441102756892,-181.10095205150324,-181.10307513316405
1.7796992481203007,-181.10062552315597,-181.10250932095727
1.7829573934837093,-181.10031858612962,-181.10194350875048
1.7862155388471177,-181.10003003823584,-181.1013776965437
1.789473684210526,-181.09975864462558,-181.1008118843369
1.7927318295739347,-181.09950314232825,-181.10024607213012
1.7959899749373434,-181.09926224504144,-181.09968025992333
1.7992481203007518,-181.0990346481597,-181.09911444771654
1.8025062656641602,-181.0988190340297,-181.0988223738828
1.8057644110275688,-181.09861407741818,-181.09861242156097
1.8090225563909774,-181.0984184511763,-181.09840246923915
1.8122807017543858,-181.0982308320839,-181.0981925169173
1.8155388471177942,-181.0980499068543,-181.09798256459547
1.8187969924812029,-181.09787437827904,-181.09777261227362
1.8220551378446115,-181.09770297149137,-181.0975626599518
1.8253132832080199,-181.09753444032387,-181.09735270762997
1.8285714285714283,-181.0973675737351,-181.0971427553081
1.831829573934837,-181.09720120227914,-181.0969328029863
1.8350877192982455,-181.0970342045883,-181.09672285066446
1.8383458646616542,-181.09686551384024,-181.0965128983426
1.8416040100250626,-181.09669412417682,-181.09630294602078
1.844862155388471,-181.0965190970426,-181.09609299369893
1.8481203007518796,-181.09633956740777,-181.0958830413771
1.8513784461152882,-181.0961547498399,-181.09567308905528
1.8546365914786966,-181.09596394438756,-181.09546313673343
1.857894736842105,-181.0957665422367,-181.0952531844116
1.8611528822055137,-181.0955620311008,-181.09504323208975
1.8644110275689223,-181.09535000030354,-181.09483327976793
1.8676691729323307,-181.09513014551268,-181.0946233274461
1.870927318295739,-181.0949022730821,-181.09441337512425
1.8741854636591477,-181.09466630395917,-181.09420342280242
1.8774436090225564,-181.09442227711295,-181.09399347048057
1.8807017543859648,-181.09417035243916,-181.09378351815874
1.8839598997493732,-181.09391081309695,-181.09357356583692
1.8872180451127818,-181.09364406723282,-181.09336361351507
1.8904761904761904,-181.09337064904645,-181.09315366119324
1.8937343358395988,-181.09309121915433,-181.09294370887142
1.8969924812030072,-181.09280656420665,-181.09273375654956
1.9002506265664159,-181.0925175957142,-181.0925330408283
1.9035087719298245,-181.09222534804294,-181.092443164314
1.906766917293233,-181.09193097553452,-181.0923532877997
1.9100250626566413,-181.09163574871354,-181.09226341128542
1.91328320802005,-181.09134104954293,-181.09217353477112
1.9165413533834585,-181.09104836569216,-181.09208365825683
1.9197994987468672,-181.09075928378428,-181.09199378174253
1.9230576441102754,-181.09047548159148,-181.09190390522824
1.926315789473684,-181.09019871915146,-181.09181402871394
1.9295739348370926,-181.08993082878087,-181.09172415219965
1.9328320802005012,-181.08967370396564,-181.09163427568535
1.9360902255639094,-181.08942928711315,-181.09154439917103
1.939348370927318,-181.0891995561548,-181.09145452265673
1.9426065162907267,-181.08898650999475,-181.09136464614244
1.9458646616541353,-181.08879215280479,-181.09127476962814
1.949122807017544,-181.08861847717247,-181.09118489311385
1.952380952380952,-181.08846744611702,-181.09109501659955
1.9556390977443607,-181.08834097399426,-181.09100514008526
1.9588972431077694,-181.08824090632064,-181.09091526357096
1.962155388471178,-181.08816899855495,-181.09082538705667
1.9654135338345862,-181.0881268938862,-181.09073551054237
1.9686716791979948,-181.08811610008595,-181.09064563402808
1.9719298245614034,-181.0881379654945,-181.09055575751378
1.975187969924812,-181.08819365422235,-181.0904658809995
1.9784461152882202,-181.0882841206606,-181.09037600448517
1.9817042606516289,-181.08841008340698,-181.09028612797087
1.9849624060150375,-181.08857199872978,-181.09019625145658
1.988220551378446,-181.08877003370495,-181.09010637494228
1.9914786967418543,-181.08900403918005,-181.09001649842799
1.994736842105263,-181.0892735227341,-181.0899266219137
1.9979949874686715,-181.08957762182095,-181.0898367453994
2.00125313283208,-181.08991507730363,-181.08976489294642
2.0045112781954884,-181.09028420760592,-181.08972187899153
2.007769423558897,-181.09068288373038,-181.08967886503666
2.0110275689223056,-181.09110850541322,-181.08963585108177
2.0142857142857142,-181.09155797871117,-181.0895928371269
2.017543859649123,-181.0920276953398,-181.089549823172
2.020802005012531,-181.09251351410967,-181.0895068092171
2.0240601503759397,-181.09301074483375,-181.08946379526225
2.0273182957393483,-181.0935141351096,-181.08942078130735
2.030576441102757,-181.0940178604089,-181.0893777673525
2.033834586466165,-181.09451551794086,-181.0893347533976
2.0370927318295737,-181.09500012478745,-181.08929173944273
2.0403508771929824,-181.0954641208459,-181.08924872548783
2.043609022556391,-181.09589937714864,-181.08920571153297
2.046867167919799,-181.09629721017123,-181.08916269757808
2.050125313283208,-181.09664840277773,-181.0891196836232
2.0533834586466164,-181.09694323249607,-181.08907666966832
2.056641604010025,-181.0971715078598,-181.08903365571345
2.0598997493734332,-181.0973226135982,-181.08899064175856
2.063157894736842,-181.09738556550522,-181.0889476278037
2.0664160401002505,-181.09734907586756,-181.0889046138488
2.069674185463659,-181.09720163038438,-181.0888615998939
2.0729323308270673,-181.09693157756527,-181.08881858593904
2.076190476190476,-181.0965272316504,-181.08877557198414
2.0794486215538845,-181.0959769901548,-181.08873255802928
2.082706766917293,-181.0952694672009,-181.08868954407438
2.085964912280702,-181.09439364386657,-181.08864653011952
2.08922305764411,-181.0933390368428,-181.08860351616462
2.0924812030075186,-181.09209588676364,-181.08856050220976
2.0957393483709272,-181.0906553676429,-181.08851748825487
2.098997493734336,-181.08900981892623,-181.0884744743
2.102255639097744,-181.08715300174475,-181.08844540681736
2.1055137844611527,-181.08508038103633,-181.08842253776683
2.1087719298245613,-181.0827894352831,-181.0883996687163
2.11203007518797,-181.08027999570152,-181.08837679966578
