r_no,polynomial,linear
1.7982456140350878,-181.17811059588635,-181.17812849510298
1.8017543859649123,-181.17802305589308,-181.17803199315088
1.805263157894737,-181.1779372452681,-181.1779627678445
1.8087719298245615,-181.17785310275698,-181.1778935425381
1.812280701754386,-181.17777056926474,-181.17782431723168
1.8157894736842104,-181.177689587785,-181.1777550919253
1.819298245614035,-181.17761010332978,-181.1776858666189
1.8228070175438595,-181.17753206286008,-181.1776166413125
1.8263157894736841,-181.17745541521774,-181.17754741600612
1.8298245614035087,-181.17738011105826,-181.17747819069973
1.8333333333333333,-181.17730610278542,-181.1774089653933
1.8368421052631578,-181.17723334448706,-181.17733974008692
1.8403508771929824,-181.17716179187275,-181.17727051478053
1.843859649122807,-181.1770914022132,-181.17720128947414
1.8473684210526315,-181.17702213428157,-181.17713206416775
1.850877192982456,-181.1769539482967,-181.17706283886133
1.8543859649122805,-181.17688680586858,-181.17699361355494
1.857894736842105,-181.17682066994564,-181.17692438824855
1.8614035087719296,-181.17675550476463,-181.17685516294216
1.8649122807017542,-181.17669127580226,-181.17678593763577
1.8684210526315788,-181.17662794972952,-181.17671671232938
1.8719298245614033,-181.17656549436788,-181.17664748702296
1.875438596491228,-181.1765038786479,-181.17657826171657
1.8789473684210525,-181.17644307257018,-181.17650903641018
1.882456140350877,-181.17638304716826,-181.1764398111038
1.8859649122807016,-181.17632377447393,-181.1763705857974
1.8894736842105262,-181.17626522748444,-181.176301360491
1.8929824561403508,-181.176207380132,-181.1762321351846
1.8964912280701753,-181.1761502072551,-181.1761629098782
1.9,-181.1760936845717,-181.1760936845718
1.9035087719298245,-181.17603778865438,-181.17604400205087
1.907017543859649,-181.17598249690712,-181.17599431952993
1.9105263157894736,-181.1759277875437,-181.17594463700897
1.9140350877192982,-181.17587363956753,-181.17589495448803
1.9175438596491228,-181.1758200327529,-181.1758452719671
1.9210526315789473,-181.17576694762758,-181.17579558944615
1.924561403508772,-181.17571436545623,-181.17574590692521
1.9280701754385965,-181.17566226822507,-181.17569622440425
1.931578947368421,-181.17561063862738,-181.1756465418833
1.9350877192982456,-181.17555946004933,-181.17559685936237
1.9385964912280702,-181.17550871655695,-181.17554717684143
1.9421052631578948,-181.17545839288283,-181.1754974943205
1.9456140350877194,-181.17540847441376,-181.17544781179953
1.949122807017544,-181.17535894717795,-181.1753981292786
1.9526315789473685,-181.17530979783254,-181.17534844675765
1.956140350877193,-181.17526101365092,-181.17529876423671
1.9596491228070176,-181.17521258250972,-181.17524908171578
1.9631578947368422,-181.1751644928754,-181.17519939919484
1.9666666666666668,-181.17511673379053,-181.17514971667387
1.9701754385964914,-181.17506929485916,-181.17510003415293
1.9736842105263155,-181.17502216623168,-181.175050351632
1.97719298245614,-181.174975338589,-181.17500066911106
1.9807017543859646,-181.17492880312554,-181.17495098659012
1.9842105263157892,-181.17488255153168,-181.17490130406915
1.9877192982456138,-181.1748365759749,-181.1748516215482
1.9912280701754383,-181.17479086908025,-181.17480193902728
1.994736842105263,-181.17474542390957,-181.17475225650634
1.9982456140350875,-181.1747002339398,-181.1747025739854
2.001754385964912,-181.17465529304033,-181.17465672672512
2.0052631578947366,-181.17461059544925,-181.17461471472552
2.008771929824561,-181.1745661357489,-181.17457270272592
2.012280701754386,-181.17452190884046,-181.17453069072633
2.0157894736842104,-181.17447790991778,-181.17448867872676
2.019298245614035,-181.17443413444067,-181.17444666672716
2.0228070175438595,-181.17439057810768,-181.17440465472757
2.026315789473684,-181.1743472368284,-181.17436264272797
2.0298245614035086,-181.1743041066958,-181.17432063072837
2.033333333333333,-181.17426118395852,-181.17427861872878
2.036842105263158,-181.17421846499306,-181.17423660672918
2.0403508771929824,-181.17417594627702,-181.1741945947296
2.043859649122807,-181.17413362436244,-181.17415258273002
2.0473684210526315,-181.17409149585055,-181.17411057073042
2.050877192982456,-181.1740495573674,-181.17406855873082
2.0543859649122806,-181.17400780554124,-181.17402654673123
2.057894736842105,-181.17396623698158,-181.17398453473163
2.06140350877193,-181.1739248482605,-181.17394252273203
2.0649122807017544,-181.1738836358962,-181.17390051073247
2.068421052631579,-181.17384259633963,-181.17385849873287
2.0719298245614035,-181.17380172596395,-181.17381648673327
2.075438596491228,-181.17376102105757,-181.17377447473368
2.0789473684210527,-181.17372047782078,-181.17373246273408
2.0824561403508772,-181.17368009236668,-181.17369045073448
2.085964912280702,-181.17363986072624,-181.1736484387349
2.0894736842105264,-181.17359977885823,-181.17360642673532
2.092982456140351,-181.1735598426637,-181.17356441473572
2.0964912280701755,-181.17352004800614,-181.17352240273613
2.1,-181.17348039073633,-181.17348039073653
2.1035087719298247,-181.17344086672333,-181.1734425244385
2.1070175438596492,-181.1734014718906,-181.17340465814053
2.1105263157894734,-181.17336220225798,-181.1733667918425
2.114035087719298,-181.17332305398938,-181.17332892554452
2.1175438596491225,-181.17328402344592,-181.1732910592465
2.121052631578947,-181.17324510724453,-181.1732531929485
2.1245614035087717,-181.17320630232174,-181.1732153266505
2.1280701754385962,-181.17316760600238,-181.1731774603525
2.131578947368421,-181.17312901607224,-181.1731395940545
2.1350877192982454,-181.17309053085503,-181.1731017277565
2.13859649122807,-181.17305214929186,-181.17306386145847
2.1421052631578945,-181.17301387102316,-181.1730259951605
2.145614035087719,-181.1729756964716,-181.17298812886247
2.1491228070175437,-181.17293762692475,-181.17295026256448
2.1526315789473682,-181.17289966461632,-181.17291239626647
2.156140350877193,-181.1728618128041,-181.17287452996845
2.1596491228070174,-181.17282407584278,-181.17283666367047
2.163157894736842,-181.17278645924964,-181.17279879737245
2.1666666666666665,-181.17274896976045,-181.17276093107446
2.170175438596491,-181.1727116153732,-181.17272306477645
2.1736842105263157,-181.17267440537645,-181.17268519847843
2.1771929824561402,-181.17263735035905,-181.17264733218045
2.180701754385965,-181.17260046219732,-181.17260946588243
2.1842105263157894,-181.17256375401607,-181.17257159958444
2.187719298245614,-181.17252724011823,-181.17253373328643
2.1912280701754385,-181.17249093587907,-181.1724958669884
2.194736842105263,-181.17245485759855,-181.17245800069043
2.1982456140350877,-181.17241902230677,-181.1724201343924
2.2017543859649122,-181.17238344751544,-181.17238396856794
2.205263157894737,-181.17234815090887,-181.17234950321696
2.2087719298245614,-181.1723131499663,-181.172315037866
2.212280701754386,-181.1722784615077,-181.17228057251504
2.2157894736842105,-181.17224410115392,-181.17224610716409
2.219298245614035,-181.17221008269172,-181.1722116418131
2.2228070175438597,-181.17217641733288,-181.17217717646216
2.2263157894736842,-181.17214311285645,-181.17214271111118
2.229824561403509,-181.1721101726222,-181.17210824576023
2.2333333333333334,-181.17207759444187,-181.17207378040925
2.236842105263158,-181.1720453692945,-181.1720393150583
2.2403508771929825,-181.17201347987125,-181.17200484970732
2.243859649122807,-181.17198189893324,-181.17197038435637
2.2473684210526312,-181.17195058746557,-181.1719359190054
2.250877192982456,-181.1719194926096,-181.17190145365444
2.2543859649122804,-181.17188854535328,-181.17186698830346
2.257894736842105,-181.17185765795983,-181.1718325229525
2.2614035087719295,-181.17182672111196,-181.17179805760153
2.264912280701754,-181.17179560074823,-181.17176359225058
2.2684210526315787,-181.171764134567,-181.1717291268996
2.2719298245614032,-181.17173212817133,-181.17169466154866
2.275438596491228,-181.17169935082617,-181.17166019619768
2.2789473684210524,-181.17166553079912,-181.17162573084673
2.282456140350877,-181.1716303502518,-181.17159126549575
2.2859649122807015,-181.17159343964985,-181.1715568001448
2.289473684210526,-181.17155437165474,-181.17152233479382
2.2929824561403507,-181.17151265446103,-181.17148786944287
2.2964912280701753,-181.17146772453904,-181.1714534040919
2.3,-181.1714189387411,-181.17141893874094
