r_nn,r_no,polynomial
0.90678391959799,1.2552763819095474,-180.92900254931075
0.90678391959799,1.259045226130653,-180.92867226305185
0.90678391959799,1.2628140703517585,-180.928306185903
0.90678391959799,1.2665829145728642,-180.9279057671294
0.90678391959799,1.2703517587939697,-180.92747243838082
0.90678391959799,1.2741206030150751,-180.92700761369125
0.90678391959799,1.2778894472361806,-180.9265126894792
0.90678391959799,1.281658291457286,-180.92598904454755
0.90678391959799,1.2854271356783917,-180.92543804008343
0.90678391959799,1.2891959798994972,-180.9248610196583
0.90678391959799,1.2929648241206029,-180.92425930922832
0.90678391959799,1.2967336683417083,-180.92363421713358
0.90678391959799,1.3005025125628138,-180.92298703409884
0.90678391959799,1.3042713567839193,-180.92231903323318
0.90678391959799,1.308040201005025,-180.9216314700299
0.90678391959799,1.3118090452261304,-180.92092558236692
0.90678391959799,1.3155778894472359,-180.92020259050634
0.90678391959799,1.3193467336683415,-180.9194636970947
0.90678391959799,1.323115577889447,-180.9187100871629
0.90678391959799,1.3268844221105525,-180.91794292812622
0.90678391959799,1.330653266331658,-180.91716336978428
0.90678391959799,1.3344221105527636,-180.91637254432112
0.90678391959799,1.338190954773869,-180.91557156630512
0.90678391959799,1.3419597989949745,-180.91476153268897
0.90678391959799,1.3457286432160802,-180.91394352280997
0.90678391959799,1.3494974874371857,-180.91311859838945
0.90678391959799,1.3532663316582911,-180.91228780353336
0.90678391959799,1.3570351758793966,-180.91145216473188
0.90678391959799,1.3608040201005023,-180.91061269085975
0.90678391959799,1.3645728643216077,-180.90977037317586
0.90678391959799,1.3683417085427132,-180.9089261853235
0.90678391959799,1.3721105527638189,-180.9080810833306
0.90678391959799,1.3758793969849243,-180.90723600560906
0.90678391959799,1.3796482412060298,-180.90639187295542
0.90678391959799,1.3834170854271353,-180.90554958855057
0.90678391959799,1.387185929648241,-180.90471003795966
0.90678391959799,1.3909547738693464,-180.90387408913233
0.90678391959799,1.3947236180904519,-180.9030425924025
0.90678391959799,1.3984924623115575,-180.90221638048845
0.90678391959799,1.402261306532663,-180.90139626849293
0.90678391959799,1.4060301507537685,-180.900583053903
0.90678391959799,1.409798994974874,-180.89977751659012
0.90678391959799,1.4135678391959796,-180.8989804188101
0.90678391959799,1.417336683417085,-180.89819250520313
0.90678391959799,1.4211055276381908,-180.8974145027937
0.90678391959799,1.4248743718592962,-180.89664712099076
0.90678391959799,1.4286432160804017,-180.89589105158765
0.90678391959799,1.4324120603015071,-180.89514696876205
0.90678391959799,1.4361809045226126,-180.89441552907581
0.90678391959799,1.4399497487437183,-180.89369737147558
0.90678391959799,1.4437185929648237,-180.89299311729206
0.90678391959799,1.4474874371859294,-180.8923033702403
0.90678391959799,1.4512562814070349,-180.89162871642003
0.90678391959799,1.4550251256281403,-180.8909697243149
0.90678391959799,1.4587939698492458,-180.89032694479337
0.90678391959799,1.4625628140703513,-180.889700911108
0.90678391959799,1.466331658291457,-180.88909213889588
0.90678391959799,1.4701005025125624,-180.88850112617814
0.90678391959799,1.473869346733668,-180.88792835336076
0.90678391959799,1.4776381909547736,-180.8873742832339
0.90678391959799,1.481407035175879,-180.88683936097192
0.90678391959799,1.4851758793969845,-180.88632401413375
0.90678391959799,1.48894472361809,-180.88582865266255
0.90678391959799,1.4927135678391956,-180.88535366888593
0.90678391959799,1.496482412060301,-180.88489943751594
0.90678391959799,1.5002512562814068,-180.88446631564895
0.90678391959799,1.5040201005025122,-180.88405464276556
0.90678391959799,1.5077889447236177,-180.883664740731
0.90678391959799,1.5115577889447231,-180.88329691379462
0.90678391959799,1.5153266331658286,-180.88295144859032
0.90678391959799,1.5190954773869343,-180.88262861413634
0.90678391959799,1.5228643216080398,-180.8823286618351
0.90678391959799,1.5266331658291454,-180.8820518254737
0.90678391959799,1.530402010050251,-180.88179832122336
0.90678391959799,1.5341708542713564,-180.8815683476399
0.90678391959799,1.5379396984924618,-180.88136208566323
0.90678391959799,1.5417085427135673,-180.8811796986179
0.90678391959799,1.545477386934673,-180.8810213322126
0.90678391959799,1.5492462311557786,-180.8808871145406
0.90678391959799,1.553015075376884,-180.8807771560795
0.90678391959799,1.5567839195979896,-180.880691549691
0.90678391959799,1.560552763819095,-180.88063037062162
0.90678391959799,1.5643216080402005,-180.8805936765019
0.90678391959799,1.568090452261306,-180.88058150734685
0.90678391959799,1.5718592964824116,-180.8805938855559
0.90678391959799,1.5756281407035173,-180.8806308159129
0.90678391959799,1.5793969849246228,-180.88069228558584
0.90678391959799,1.5831658291457282,-180.88077826412743
0.90678391959799,1.5869346733668337,-180.88088870347445
