angle,polynomial,linear
102.40601503759399,-181.04131632922812,-181.0651389083141
102.63157894736842,-181.04261393174355,-181.0650652121864
102.85714285714286,-181.04422355398427,-181.0649915160587
103.0827067669173,-181.0460777817702,-181.06491781993103
103.30827067669173,-181.04811380614333,-181.06484412380334
103.53383458646617,-181.0502739664401,-181.06477042767565
103.7593984962406,-181.05250613085124,-181.06469673154797
103.98496240601503,-181.0547639311511,-181.06462303542028
104.21052631578948,-181.0570068680233,-181.06454933929257
104.4360902255639,-181.0592003029713,-181.06447564316488
104.66165413533835,-181.06131535220908,-181.0644019470372
104.88721804511277,-181.0633286972165,-181.0643282509095
105.11278195488721,-181.0652223258336,-181.06468896323304
105.33834586466165,-181.0669832168908,-181.0654840840078
105.56390977443608,-181.068602980444,-181.06627920478255
105.78947368421052,-181.07007746472252,-181.0670743255573
106.01503759398496,-181.07140633992518,-181.06786944633205
106.2406015037594,-181.07259266802237,-181.0686645671068
106.46616541353383,-181.07364246675672,-181.06945968788153
106.69172932330827,-181.07456427509115,-181.0702548086563
106.9172932330827,-181.07536872643598,-181.07104992943104
107.14285714285714,-181.07606813510836,-181.07184505020578
107.36842105263158,-181.0766761006378,-181.07264017098055
107.59398496240601,-181.07720713374064,-181.0734352917553
107.81954887218045,-181.07767630704214,-181.07423041253003
108.04511278195488,-181.07809893293424,-181.0750255333048
108.27067669172932,-181.07849027031824,-181.07582065407954
108.49624060150376,-181.07886526139785,-181.07661577485428
108.7218045112782,-181.07923829915617,-181.07741089562904
108.94736842105263,-181.07962302567466,-181.07820601640378
109.17293233082707,-181.08003216102563,-181.07900113717852
109.3984962406015,-181.0804773620979,-181.0797962579533
109.62406015037594,-181.080969110389,-181.08059137872803
109.84962406015038,-181.0815166275216,-181.08138649950277
110.07518796992481,-181.08212781700854,-181.08237545987495
110.30075187969925,-181.08280923060175,-181.083752099442
110.52631578947368,-181.0835660574098,-181.08512873900904
110.75187969924812,-181.08440213385683,-181.08650537857608
110.97744360902256,-181.0853199724761,-181.08788201814312
111.203007518797,-181.08632080748563,-181.08925865771016
111.42857142857143,-181.0874046550746,-181.0906352972772
111.65413533834587,-181.08857038633712,-181.09201193684424
111.8796992481203,-181.0898158108211,-181.0933885764113
112.10526315789474,-181.09113776871175,-181.0947652159783
112.33082706766918,-181.0925322297375,-181.09614185554534
112.55639097744361,-181.09399439697296,-181.09751849511238
112.78195488721805,-181.09551881380952,-181.09889513467942
113.00751879699249,-181.0970994724736,-181.10027177424647
113.23308270676691,-181.09872992259002,-181.1016484138135
113.45864661654136,-181.10040337841085,-181.10302505338055
113.68421052631578,-181.10211282345898,-181.1044016929476
113.90977443609023,-181.1038511114669,-181.10577833251463
114.13533834586465,-181.10561106262304,-181.10715497208167
114.3609022556391,-181.10738555427142,-181.1085316116487
114.58646616541353,-181.10916760533976,-181.10990825121573
114.81203007518798,-181.1109504539005,-181.11128489078277
115.0375939849624,-181.11272762739222,-181.11266406330196
115.26315789473685,-181.1144930051495,-181.1140559005818
115.48872180451127,-181.11624087300225,-181.11544773786167
115.71428571428571,-181.11796596981353,-181.1168395751415
115.93984962406014,-181.11966352592592,-181.11823141242138
116.16541353383458,-181.12132929357986,-181.11962324970125
116.39097744360902,-181.12295956945277,-181.1210150869811
116.61654135338345,-181.12455120954704,-181.12240692426096
116.84210526315789,-181.12610163672335,-181.1237987615408
117.06766917293233,-181.12760884123938,-181.12519059882067
