dihedral,spline,linear
32.932330827067666,-148.7880667449104,-148.7880879186851
33.38345864661654,-148.78811949808062,-148.78814502626335
33.83458646616541,-148.7881723692695,-148.7882021338416
34.285714285714285,-148.78822550336866,-148.78825924141984
34.73684210526316,-148.7882790452699,-148.78831634899808
35.18796992481203,-148.78833313986476,-148.78837345657632
35.6390977443609,-148.78838793204505,-148.78843056415457
36.09022556390977,-148.78844356670237,-148.7884876717328
36.54135338345864,-148.78850018872848,-148.78854477931102
36.992481203007515,-148.788557943015,-148.78860188688927
37.44360902255639,-148.78861697445362,-148.7886589944675
37.89473684210526,-148.78867742793605,-148.78871610204575
38.34586466165413,-148.7887394483539,-148.788773209624
38.796992481203006,-148.78880318059896,-148.78883031720224
39.24812030075188,-148.78886876956287,-148.78888742478048
39.69924812030075,-148.7889363601373,-148.78894453235873
40.150375939849624,-148.7890060952017,-148.7890093152247
40.6015037593985,-148.7890779969,-148.78908944866618
41.05263157894736,-148.78915190023636,-148.78916958210763
41.503759398496236,-148.78922762411676,-148.7892497155491
41.95488721804511,-148.78930498744722,-148.78932984899055
42.40601503759398,-148.78938380913382,-148.789409982432
42.857142857142854,-148.78946390808244,-148.78949011587346
43.30827067669173,-148.78954510319926,-148.78957024931495
43.7593984962406,-148.78962721339022,-148.7896503827564
44.21052631578947,-148.78971005756134,-148.78973051619786
44.661654135338345,-148.7897934546187,-148.78981064963932
45.11278195488722,-148.78987722346824,-148.78989078308078
45.56390977443609,-148.789961183016,-148.78997091652224
46.01503759398496,-148.79004515216803,-148.79005104996372
46.46616541353383,-148.79012894983035,-148.79013118340518
46.9172932330827,-148.790212394909,-148.79021131684664
47.368421052631575,-148.7902953063099,-148.7902914502881
47.81954887218045,-148.79037750293915,-148.79037158372955
48.27067669172932,-148.7904588037028,-148.79045171717104
48.721804511278194,-148.79053902750684,-148.7905318506125
49.17293233082707,-148.79061799325726,-148.79061198405395
49.62406015037594,-148.79069551986012,-148.7906921174954
50.07518796992481,-148.7907714264047,-148.79076894966246
50.526315789473685,-148.7908455941144,-148.79082927545753
