oo,spline,linear
1.5914786967418553,-148.78665196110535,-148.78640117001373
1.596491228070176,-148.78616267867255,-148.78605428399067
1.6015037593984967,-148.78565877297578,-148.7856378862639
1.6065162907268176,-148.78514078232737,-148.7850592945618
1.6115288220551385,-148.78460975043285,-148.78448070285967
1.6165413533834592,-148.7840667699527,-148.78390211115754
1.6215538847117799,-148.78351293354723,-148.78332351945542
1.6265664160401008,-148.78294933387707,-148.7827449277533
1.6315789473684217,-148.78237706360258,-148.7821663360512
1.6365914786967424,-148.78179721538433,-148.78158774434908
1.641604010025063,-148.7812108818827,-148.78100915264696
1.646616541353384,-148.78061915575827,-148.78043056094484
1.651629072681705,-148.78002312967138,-148.7798519692427
1.6566416040100256,-148.7794238962825,-148.7792733775406
1.6616541353383463,-148.7788225482522,-148.7786947858385
1.6666666666666672,-148.77822017824087,-148.77811619413637
1.671679197994988,-148.777617878909,-148.77753760243425
1.6766917293233088,-148.77701674291706,-148.77695901073213
1.6817042606516295,-148.77641786292548,-148.77638041903
1.6867167919799504,-148.7758223315948,-148.77580182732788
1.6917293233082713,-148.77523124158543,-148.77522323562576
1.696741854636592,-148.77464568555786,-148.77464464392366
1.7017543859649127,-148.7740667484379,-148.7740921520501
1.7067669172932338,-148.77349510223831,-148.77358813128666
1.7117794486215545,-148.772930806762,-148.77308411052323
1.7167919799498752,-148.77237387226938,-148.7725800897598
1.7218045112781961,-148.771824309021,-148.77207606899637
1.726817042606517,-148.77128212727735,-148.77157204823294
1.7318295739348377,-148.7707473372989,-148.7710680274695
1.7368421052631584,-148.77021994934623,-148.77056400670608
1.7418546365914793,-148.76969997367974,-148.77005998594265
1.7468671679198002,-148.76918742055997,-148.76955596517922
1.751879699248121,-148.7686823002474,-148.7690519444158
1.7568922305764416,-148.76818462300253,-148.76854792365236
1.7619047619047625,-148.7676943990859,-148.76804390288893
1.7669172932330834,-148.76721163875794,-148.7675398821255
1.7719298245614041,-148.76673635227922,-148.76703586136207
1.7769423558897248,-148.76626854991014,-148.76653184059865
1.7819548872180457,-148.7658082419113,-148.76602781983522
1.7869674185463666,-148.76535543854314,-148.7655237990718
1.7919799498746873,-148.76491015006619,-148.76501977830839
1.796992481203008,-148.7644723867409,-148.76451575754496
1.802005012531329,-148.7640421528564,-148.76405706459892
1.8070175438596499,-148.76361922056446,-148.763666363379
1.8120300751879705,-148.7632030604622,-148.7632756621591
1.8170426065162912,-148.76279312299326,-148.76288496093918
1.8220551378446121,-148.76238885860138,-148.76249425971926
1.827067669172933,-148.7619897177303,-148.76210355849935
1.8320802005012538,-148.76159515082358,-148.76171285727943
1.8370927318295747,-148.76120460832502,-148.76132215605952
1.8421052631578956,-148.76081754067835,-148.7609314548396
1.8471177944862163,-148.76043339832717,-148.7605407536197
1.852130325814537,-148.7600516317152,-148.76015005239978
1.8571428571428579,-148.75967169128623,-148.75975935117987
1.8621553884711788,-148.75929302748384,-148.75936864995995
1.8671679197994995,-148.75891509075174,-148.75897794874004
1.8721804511278202,-148.75853733153372,-148.75858724752013
1.877192982456141,-148.75815920027338,-148.7581965463002
1.882205513784462,-148.75778014741445,-148.7578058450803
1.8872180451127827,-148.75739962340063,-148.75741514386038
1.8922305764411034,-148.75701707867563,-148.75702444264047
1.8972431077694243,-148.7566319636831,-148.75663374142056
1.9022556390977452,-148.75624374445687,-148.75624295979665
1.907268170426066,-148.75585234624106,-148.75585207990122
1.9122807017543866,-148.75545821751865,-148.75546120000575
1.9172932330827075,-148.75506183523677,-148.75507032011032
1.9223057644110284,-148.75466367634237,-148.75467944021486
1.927318295739349,-148.7542642177825,-148.7542885603194
1.9323308270676698,-148.75386393650422,-148.75389768042396
1.9373433583959907,-148.75346330945453,-148.7535068005285
1.9423558897243116,-148.7530628135805,-148.75311592063306
1.9473684210526323,-148.75266292582918,-148.7527250407376
1.952380952380953,-148.75226412314754,-148.75233416084214
1.957393483709274,-148.75186688248266,-148.7519432809467
1.9624060150375948,-148.75147168078155,-148.75155240105124
1.9674185463659155,-148.75107899499127,-148.75116152115578
1.9724310776942364,-148.75068930205884,-148.75077064126035
1.9774436090225573,-148.75030307893132,-148.75037976136488
1.982456140350878,-148.74992080255572,-148.74998888146945
1.9874686716791987,-148.7495429498791,-148.749598001574
1.9924812030075196,-148.74916999784844,-148.74920712167852
1.9974937343358405,-148.74880242341084,-148.7488162417831
2.0025062656641612,-148.74844069245512,-148.74846853498613
2.007518796992482,-148.74808501653234,-148.7481640012877
2.0125313283208026,-148.74773535285573,-148.74785946758928
2.0175438596491233,-148.74739164758023,-148.74755493389085
2.0225563909774444,-148.74705384686092,-148.74725040019243
2.0275689223057656,-148.7467218968529,-148.746945866494
2.0325814536340863,-148.74639574371113,-148.74664133279558
2.037593984962407,-148.74607533359068,-148.74633679909715
2.0426065162907276,-148.7457606126465,-148.74603226539872
2.0476190476190483,-148.7454515270337,-148.7457277317003
2.052631578947369,-148.7451480229073,-148.74542319800184
2.05764411027569,-148.74485004642233,-148.74511866430342
2.062656641604011,-148.74455754373383,-148.744814130605
2.067669172932332,-148.74427046099683,-148.74450959690657
2.0726817042606527,-148.74398874436636,-148.74420506320814
2.0776942355889734,-148.74371233999742,-148.74390052950972
2.082706766917294,-148.7434411940451,-148.7435959958113
2.0877192982456148,-148.74317525266437,-148.74329146211286
2.0927318295739354,-148.7429144620103,-148.74298692841444
2.0977443609022566,-148.74265876823793,-148.742682394716
2.1027568922305773,-148.74240811936463,-148.7424353801759
2.1077694235588984,-148.74216249764214,-148.7422354267653
